id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
355,,,Bözingen,Bözingen,Switzerland,Hydro,Run-Of-River,3.25,47.1545087131,7.26655078925,"BFE, Switzerland Power Plant.csv",2.21335798025
356,,,Wannenfluh,Wannenfluh,Switzerland,Hydro,Run-Of-River,0.42,46.9973291774,7.7219601987,"BFE, Switzerland Power Plant.csv",0.286033954371
357,,,Hagerhüsli,Hagerhüsli,Switzerland,Hydro,Run-Of-River,0.5,47.1209582677,7.53548691316,"BFE, Switzerland Power Plant.csv",0.340516612346
358,,,Bätterkinden,Bätterkinden,Switzerland,Hydro,Run-Of-River,0.4,47.1330038883,7.54407602098,"BFE, Switzerland Power Plant.csv",0.272413289877
359,,,Utzenstorf,Utzenstorf,Switzerland,Hydro,Run-Of-River,0.38,47.1458646634,7.54607873841,"BFE, Switzerland Power Plant.csv",0.258792625383
360,,,Gerlafingen,Gerlafingen,Switzerland,Hydro,Run-Of-River,0.5,47.1558500995,7.54477997909,"BFE, Switzerland Power Plant.csv",0.340516612346
361,,,Biberist,Biberist papierfabrik,Switzerland,Hydro,Run-Of-River,0.5,47.1835291625,7.56911004647,"BFE, Switzerland Power Plant.csv",0.340516612346
362,,,Emmenhof,Emmenhof,Switzerland,Hydro,Run-Of-River,0.33,47.1948463818,7.582729415,"BFE, Switzerland Power Plant.csv",0.224740964148
363,,,Aarburg,Aarburg,Switzerland,Hydro,Run-Of-River,0.42,47.3191178376,7.90315413711,"BFE, Switzerland Power Plant.csv",0.286033954371
364,,,"Dünnern, olten","Dünnern, olten",Switzerland,Hydro,Run-Of-River,0.37,47.3486379073,7.89864659258,"BFE, Switzerland Power Plant.csv",0.251982293136
365,,,Aarau stadt,Aarau stadt,Switzerland,Hydro,Run-Of-River,16.93,47.3947817334,8.03587458337,"BFE, Switzerland Power Plant.csv",11.529892494
366,,,Niederlenz,Niederlenz,Switzerland,Hydro,Run-Of-River,0.4,47.3991885281,8.17621146751,"BFE, Switzerland Power Plant.csv",0.272413289877
367,,,Hospental,Hospental,Switzerland,Hydro,Run-Of-River,2.0,46.6205638209,8.56904462908,"BFE, Switzerland Power Plant.csv",1.36206644938
368,,,Realp,Realp,Switzerland,Hydro,Run-Of-River,0.9,46.5993455879,8.50229746755,"BFE, Switzerland Power Plant.csv",0.612929902223
369,,,Oberalp,Oberalp,Switzerland,Hydro,Run-Of-River,2.9,46.6329580099,8.60678648212,"BFE, Switzerland Power Plant.csv",1.97499635161
370,,,Göschenen unterdorf,Göschenen unterdorf,Switzerland,Hydro,Run-Of-River,1.62,46.6678191535,8.58467035968,"BFE, Switzerland Power Plant.csv",1.103273824
