id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
1909,Kaprun Oberstufe,,Kaprun Oberstufe,Austria,Hydro,,113.0,,
1910,High Volts,,High Volts,United Kingdom,Wind,,9.0,50.5949824,-1.9518955
1911,Gausbu,,Gausbu,Norway,Hydro,,9.0,,
1912,Dolgarrog High,,Dolgarrog High Head,United Kingdom,Hydro,,18.4,52.2928116,-3.7389299
1913,Lanternoso/Guijosa,,Lanternoso,Spain,Wind,,24.0,,
1914,Causeymire,,Causeymire,United Kingdom,Wind,,48.3,56.7861112,-4.1140517
1915,Leirfossene,,Leirfossene,Norway,Hydro,,53.0,,
1916,Tysso,,Tysso,Norway,Hydro,,258.0,,
1917,Furset,,Furset,Norway,Hydro,,5.0,,
1918,Sage Luster,,Sage,Norway,Hydro,,9.0,,
1919,Riksheimdal,,Riksheimdal,Norway,Hydro,,4.6,,
1920,Hagen Kabel,,Hagen Kabel,Germany,Natural Gas,,230.0,51.357862,7.4727227
1921,Dettingen Canal,,Dettingen,Germany,Hydro,,11.0,48.4368485,8.9343816
1922,Monte Molon,,Monte Molon,Spain,Wind,,29.75,,
1923,Hanefoss,,Hanefoss,Norway,Hydro,,42.0,,
1924,Tunnsjofoss,,Tunnsjofoss,Norway,Hydro,,9.0,,
1925,Celaya,,Celaya,Spain,Wind,,28.8,,
1926,Jaap Rodenburg,,Jaap Rodenburg,Netherlands,Wind,,16.5,52.4417588,5.20931491494
1927,Bleiloch,,Bleiloch,Germany,Hydro,,80.0,50.5774374,11.80891
1928,Estany Gento Sallente,,Estany Gento Sallente,Spain,Hydro,,451.0,,
1929,Dolgarrog Low,,Dolgarrog Low Head,United Kingdom,Hydro,,15.0,52.2928116,-3.7389299
1930,Asmulfoss,,Asmulfoss,Norway,Hydro,,14.0,,
1931,Follafoss,,Follafoss,Norway,Hydro,,49.0,,
1932,Muttsee,,Muttsee,Switzerland,Hydro,,4.4,,
1933,Linthal Limmern,,Linthal Limmern,Switzerland,Hydro,,34.4,47.1682719,7.2556047
1934,Ruchlig,,RüChlig,Switzerland,Hydro,,12.05,,
1935,Salto  Cofrentes,,Cofrentes,Spain,Hydro,,124.2,,
1936,Stuvane,,Stuvane,Norway,Hydro,,42.0,,
1937,Restano,,Restano,Spain,Hydro,,14.4,,
1938,Funnefoss,,Funnefoss,Norway,Hydro,,44.0,,
1939,Ixelles,,Ixelles Tj,Belgium,Oil,,20.0,,
1940,Heiligkreuz,,Heiligkreuz,Switzerland,Hydro,,41.0,46.2554573,6.9537826
1941,Ruppoldingen,,Ruppoldingen,Switzerland,Hydro,,23.0,46.8332439,9.2834557
1942,Goesgen,,GöSgen,Switzerland,Hydro,,51.3,47.0351085,7.3116588
1943,Mottec,,Mottec,Switzerland,Hydro,,71.0,46.6370243,7.8327586
1944,Veytaux Hongrin,,Veytaux,Switzerland,Hydro,,255.0,,
1945,Pallazuit,,Pallazuit,Switzerland,Hydro,,40.0,47.4224096,7.5020019
1946,Flumenthal,,Flumenthal,Switzerland,Hydro,,23.4,46.8632481,10.4342982
1947,Neubrigg,,Neubrigg,Switzerland,Hydro,,26.0,47.1530964,7.2730972
1948,Palu (Ch),,Palü,Switzerland,Hydro,,10.4,,
1949,Bagmoor,,Bagmoor,United Kingdom,Wind,,16.0,52.79657515,-0.671822206834
1950,Solk,,SöLk,Austria,Hydro,,61.0,,
1951,Wyhlen,,Wyhlen,Germany,Hydro,,44.593,47.5500626,7.6833516
1952,Acampo Armijo,,En Acampo Armijo,Spain,Wind,,18.0,,
1953,Mapragg,,Mapragg,Switzerland,Hydro,,279.9,47.1662087,9.4706522
1954,Tierfehd Hintersand,,Tierfehd Hintersand,Switzerland,Hydro,,42.0,,
1955,Lontsch,,Am LöNtsch,Switzerland,Hydro,,89.1,46.4343195,7.1617642
1956,Kubel,,Kubel,Switzerland,Hydro,,15.01,,
1957,Bitterfeld,,Gud Bitterfeld,Germany,Natural Gas,,114.0,51.6239124,12.3301466
1958,Fjaremsfossen,,Fjaremsfossen,Norway,Hydro,,23.0,,
1959,Mageli,,Mageli,Norway,Hydro,,43.0,,
1960,Rejsby Hede,,Rejsby Hede,Denmark,Wind,,24.0,,
1961,Bordecorex Norte,,Borcecorex Norte,Spain,Wind,,31.45,,
1962,Sierro,,Sillero,Spain,Wind,,31.68,,
1963,Valdeperondo,,Valdeperondo,Spain,Wind,,46.0,,
1964,Leinafoss,,Leinafoss,Norway,Hydro,,5.0,,
1965,Whitelee,,Whitelee,United Kingdom,Wind,,539.0,,
1966,Galleto,,Galleto,Italy,Hydro,,166.0,42.5641417,12.6405466
1967,Erlenbach Bkw,,Erlenbach,Switzerland,Hydro,,18.0,,
1968,Simmenfluh,,Simmenfluh,Switzerland,Hydro,,9.0,,
1969,Schwarzhausern,,SchwarzhäUsern,Switzerland,Hydro,,8.2,,
1970,Itoiz,,Central Pie Presa Itoiz,Spain,Hydro,,28.6,,
1971,Midtre Tessa,,Midtre Tessa,Norway,Hydro,,9.0,,
1972,Nedre Tessa,,Nedre Tessa,Norway,Hydro,,25.0,,
1973,Roppa,,Roppa,Norway,Hydro,,6.0,,
1974,Luichart,,Luichart,United Kingdom,Hydro,,34.0,56.7861112,-4.1140517
1975,Porma ,,Porma,Spain,Hydro,,17.474,,
1976,Santa Ana Endesa,,Santa Ana,Spain,Hydro,,30.16,,
1977,Oljusjoen,,Oljusjoen,Norway,Hydro,,56.0,,
1978,Trysglwyn,,Trysglwyn,United Kingdom,Wind,,6.0,,
1979,Alhambra Cesa,,Alhambra,Spain,Wind,,34.0,,
1980,Carrascal,,Carrascal,Spain,Wind,,148.0,,
1981,Hjartdola,,Hjartdola,Norway,Hydro,,150.0,,
1982,Florsheim Wicker,,Bmkw FlöRsheim Wicker,Germany,Waste,,14.2,50.0288637,8.4061469
1983,Bjorgum,,Bjorgum,Norway,Hydro,,6.0,,
1984,Ceannacroc,,Ceannacroc,United Kingdom,Hydro,,24.0,56.7861112,-4.1140517
1985,Aiguamoix,,Aiguamoix,Spain,Hydro,,32.0,,
1986,Dun Law,,Dun Law,United Kingdom,Wind,,47.0,56.7861112,-4.1140517
1987,Puente Montanana,,Puente Montanana,Spain,Hydro,,44.8,,
1988,Careon,,Careon,Spain,Wind,,18.0,,
1989,Bowbeat,,Bowbeat Emly Bank,United Kingdom,Wind,,31.2,56.7861112,-4.1140517
1990,Altstafel,,Altstafel,Switzerland,Hydro,,9.67,,
1991,Sia,,Sima,Spain,Wind,,29.7,,
1992,Mynydd Gorddu,,Mynydd Gorddu,United Kingdom,Wind,,10.2,52.2928116,-3.7389299
1993,Ffynnon Oer,,Ffynnon Oer,United Kingdom,Wind,,32.0,52.2928116,-3.7389299
1994,Bears Down,,Bears Down,United Kingdom,Wind,,10.0,50.5947727,-1.9521986
1995,Chanet,,Usine Du Chanet,Switzerland,Hydro,,4.4,,
1996,Uzkita,,Uzkita,Spain,Wind,,24.65,,
1997,Sombrio,,Sombrio,Spain,Wind,,28.0,,
1998,Reppa,,Reppa,Norway,Hydro,,12.0,,
1999,Robin Rigg,,Robin Rigg East,United Kingdom,Wind,,180.0,56.7861112,-4.1140517
2000,Holmside Hall,,Holmside,United Kingdom,Wind,,6.0,50.5949824,-1.9518955
2001,Kalvedalen,,Kalvedalen,Norway,Hydro,,22.0,,
2002,Landau Ostbayer,,Landau,Germany,Hydro,,13.5,48.6728179,12.6584737876
2003,Scharding Neuhaus,,SchäRding Neuhaus,Austria,Hydro,,100.0,,
2004,Long Park,,Longpark,United Kingdom,Wind,,38.0,56.7861112,-4.1140517
2005,Bicker,,Bicker Fen,United Kingdom,Wind,,26.0,52.79657515,-0.671822206834
2006,Kaupanger ,,Kaupanger,Norway,Hydro,,6.0,,
2007,Novo Galicia,,Novo,Spain,Wind,,18.75,,
2008,St Fillans,,St. Fillans,United Kingdom,Hydro,,21.0,56.7861112,-4.1140517
2009,Glass Moor,,Glass Moor,United Kingdom,Wind,,28.0,52.79657515,-0.671822206834
2010,Roosecote Centrica,Roosecote,,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,229.0,54.1109146255,-3.21178708
2011,Glanford Brigg,Glanford Brigg,,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,272.0,53.5465520363,-0.498850157154
2012,Kings Lynn,Kings Lynn,,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,340.0,52.7395368797,0.387352244873
2013,Peterborough Power,Peterborough,,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,360.0,52.575269672,-0.225882532894
2014,Bacau,Cet Bacau Chpp,,Romania,Coal,Sub-critical Thermal,74.25,46.530762,26.9394372
2015,Dalesice,Dalesice Republic,,Czech Republic,Hydro,Pumped Storage Power Plant,450.0,49.1443776599,16.0690849865
2016,Prunerov,Prunerov And Czeech,,Czech Republic,Coal,Sub-critical Thermal,1490.0,50.418305555,13.258805555
2017,Lipno,Lipno Republic,,Czech Republic,Hydro,Dam on river with reservoir,120.0,48.6363115404,14.233412535
2018,Pocerady,Pocerady,,Czech Republic,Coal,Sub-critical Thermal,1000.0,50.42669028,13.678041665
2019,Tusimice,Tusimice,,Czech Republic,Coal,Cogeneration Power and Heat Steam Turbine,800.0,50.382485,13.33913428
2020,Kamyk,Kamyk Republic,,Czech Republic,Hydro,Water discharged from another project,40.0,49.6360091334,14.2501214974
2021,Porici,Porici,,Czech Republic,Coal,Sub-critical Thermal,165.0,50.572530555,15.963366665
2022,Hodonin,Hodonin,,Czech Republic,Coal,Cogeneration Power and Heat Steam Turbine,95.0,48.84717222,17.11971111
2023,Strekov,Strekov Republic,,Czech Republic,Hydro,Dam with run-of-river generation,19.5,50.6496518987,14.0400360217
2024,Ledvice,Ledvice,,Czech Republic,Coal,Sub-critical Thermal,330.0,50.576494445,13.77997778
2025,Skawina,Skawina,,Poland,Coal,Cogeneration Power and Heat Steam Turbine,490.0,49.9758345,19.802536
2026,Stechovice,Stechovice Ps Republic,,Czech Republic,Hydro,Pumped Storage Power Plant/Water discharged from another project,67.5,49.8484838692,14.4133211717
2027,Tisova,Tisova,,Czech Republic,Coal,Sub-critical Thermal,295.8,50.150830555,12.610469445
2028,Varna,Varna,,Bulgaria,Coal,Sub-critical Thermal,1260.0,43.195385,27.764936
2029,Slapy,Slapy Republic,,Czech Republic,Hydro,Dam on river with reservoir,144.0,49.6052329232,14.5255342055
2030,Dlouhe Strane,Dlouhe Strane Republic,,Czech Republic,Hydro,Pumped Storage Power Plant,650.0,50.1559800773,17.1926000366
2031,Detmarovice,Detmarovice,,Czech Republic,Coal,Cogeneration Power and Heat Steam Turbine,800.0,49.8999581124,18.4644463408
2032,Chvaletice,Chvaletice,,Czech Republic,Coal,Sub-critical Thermal,800.0,50.024305555,15.45026111
2033,Vrane,Vrane Republic,,Czech Republic,Hydro,Water discharged from another project,13.88,50.0154117993,15.4774928772
2034,Melnik ,Melnik Plants,,Czech Republic,Coal,Sub-critical Thermal/Cogeneration Power and Heat Steam Turbine,1072.0,50.41370764,14.4152791675
2035,Chorzow Elcho,Elcho Chorzow,,Poland,Coal,Cogeneration Power and Heat Steam Turbine,226.0,50.3078855,18.968788
2036,Roque Gn,San Roque Gasnatural,,Spain,Natural Gas,Combined Cycle Gas Turbine,400.0,36.2030835,-5.398625
2037,Vaugris,Vaugris,,France,Hydro,Dam with run-of-river generation,72.0,45.484916,4.820926
2038,Polaniec,Polaniec,,Poland,Coal,Sub-critical Thermal,1800.0,50.437544,21.3369025
2039,Teesside,Teesside And Heat,,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,1825.0,54.5783252133,-1.13211137726
2040,Turceni,Turceni,,Romania,Coal,Sub-critical Thermal,2310.0,44.6697611111,23.4077388889
2041,Bobov Dol,Bobov Dol,,Bulgaria,Coal,Sub-critical Thermal,630.0,42.28536,23.033589
2042,Wroclaw,Wroclaw,,Poland,Coal,Cogeneration Power and Heat Steam Turbine,263.0,51.117772,17.026644325
2043,Zielona Gora,Zielona Gora,,Poland,Natural Gas,Combined Cycle Gas Turbine,198.0,51.95065,15.4856665
2044,Borssele,Borssele Netherland,,Netherlands,Coal,Sub-critical Thermal,406.0,51.4319666666,3.71761666665
2045,Ensted,Ensted Denmark,,Denmark,Coal,Sub-critical Thermal,626.0,55.020237435,9.443928397
2046,Esbjerg,Esbjerb Denmark,,Denmark,Coal,Super-critical Thermal,378.0,55.455200545,8.4563908825
2047,Asnaes,Asnaes Denmark,,Denmark,Coal,Sub-critical Thermal,790.0,55.660559255,11.081200315
2048,Kyndby,Kyndby Denmark,,Denmark,Oil,Sub-critical Steam Turbine,646.0,55.8344215,11.9235315
2049,Herning,Herning Denmark,,Denmark,Natural Gas,Cogeneration Power and Heat Steam Turbine,95.0,56.1303575575,8.99029043522
2050,Avedore,Avedore Denmark,,Denmark,Coal,Both Sub and Super Critical Thermal,825.0,55.629943207,12.4764199229
2051,Skaerbaek,Skaerbaek Denmark,,Denmark,Natural Gas,Super-critical Thermal,392.0,55.538738164,9.68368281116
2052,Studstrup,Studstrup Denmark,,Denmark,Coal,Sub-critical Thermal,750.0,56.25089151,10.34376178
2053,Salmisaari,Salmisaari B Finland,,Finland,Coal,Sub-critical Thermal,160.0,60.1675623722,24.9201228928
2054,Escucha,Escucha,,Spain,Coal,Sub-critical Thermal,160.0,40.795035,-0.812858
2055,Nyiregyhaza,E.On Nyiregyhaza Ocgt Hungary,,Hungary,Natural Gas,Combined Cycle Gas Turbine,49.0,47.9561433904,21.7077545685
2056,Krangede,Krangede,,Sweden,Hydro,Dam on river with reservoir,250.0,62.7687596429,16.6884496048
2057,Debrecen,E.On Debrecen Ocgt Hungary,,Hungary,Natural Gas,Open Cycle Gas Turbine,95.0,47.52591665,21.63311665
2058,Grafenrheinfeld,Grafenrheinfeld,,Germany,Nuclear,,1345.0,49.9841444445,10.1837611111
2059,Ingolstadt,Ingolstadt,,Germany,Oil,Sub-critical Steam Turbine,840.0,48.76112147,11.50309751
2060,Cercs,Cercs Serchs,,Spain,Coal,Sub-critical Thermal,162.0,42.2568386416,1.6755340744
2061,Oresundverket,Nya Öresundsverket,,Sweden,Natural Gas,Combined Cycle Gas Turbine,440.0,55.6159845686,13.0205907341
2062,Galileistraat,Gallileistraat,,Netherlands,Natural Gas,,230.0,51.9166,4.4530335
2063,Maasvlakte Ucml,Maasvlakte Ucml,,Netherlands,Natural Gas,Combined Cycle Gas Turbine,80.0,51.9541825,4.037016
2064,Leiden,Leiden 12,,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,82.0,52.164465,4.494295
2065,Scholven,Scholven Gelsenkirchen,,Germany,Coal,Sub-critical Thermal,2200.0,51.60238401,7.008127048
2066,Irsching,Irsching,,Germany,Natural Gas,Combined Cycle Gas Turbine,1400.0,48.7671008375,11.590582025
2067,Puertollano,Puertollano,,Spain,Coal,Sub-critical Thermal,221.0,38.6674588523,-4.11517088318
2068,Fiume Santo,E.On Fiume Santo,,Italy,Coal,Sub-critical Thermal,1040.0,40.8488835,8.3029835
2069,Verbrande Brug (Brule) Cc,Vilvoorde Verbrande Brug,,Belgium,Natural Gas,Combined Cycle Gas Turbine,385.0,50.9403435,4.4180175
2070,Manosque,Manosque Voix,,France,Hydro,Dam with run-of-river generation,55.0,43.8529152403,5.82493833923
2071,Montahut,Montahut,,France,Hydro,Dam on a lake,99.0,43.89975,3.2670255
2072,Saint Alban,Saint Alban,,France,Nuclear,,2782.0,45.4043915092,4.75490237694
2073,Alrance,Alrance,,France,Hydro,Dam on a lake,14.5,44.1266455,2.687063
2074,Salon,Salon,,France,Hydro,Dam with run-of-river generation,101.0,43.6368685,5.1047245
2075,Laval  Cere,Laval Cere &,,France,Hydro,Dam on a lake,132.0,44.953386,1.943212
2076,Rance,Rance Tidal,,France,Hydro,Tidal,240.0,48.6122035,-2.0291925
2077,Rhue,Rhue,,France,Hydro,Dam on a lake,12.0,45.3779625578,2.62845584107
2078,Bolozon,Cize Bolozon,,France,Hydro,Dam on river with reservoir,23.0,46.1805,5.54083335
2079,Tuilieres,Tuilieres,,France,Hydro,Dam with run-of-river generation,32.0,44.84365,0.643543
2080,Argentat,Argentat,,France,Hydro,Dam on river with reservoir,48.0,45.1001715,1.9469345
2081,Lardit,Lardy,,France,Hydro,Dam on a lake,45.0,44.6758846795,2.5950106659
2082,Brillanne,Brillanne &,,France,Hydro,Dam with run-of-river generation,30.0,43.9242115,5.90835
2083,Hautefage,Hautefage,,France,Hydro,Dam on river with reservoir,25.0,45.0781715,1.9669345
2084,Saint Dalmas,Saint Dalmas,,France,Hydro,Dam on a lake,50.0,44.056432,7.394429
2085,Salignac,Salignac,,France,Hydro,Dam with run-of-river generation,88.0,44.147965,5.980901
2086,Rosignano,Rosignano,,Italy,Natural Gas,Combined Cycle Gas Turbine,388.0,43.38214,10.4486735
2087,Claux,Claux,,France,Hydro,Dam on a lake,13.5,44.87531,6.4812665
2088,Ballylumford,Ballylumford B Northern,,United Kingdom,Natural Gas,Sub-critical Thermal,540.0,54.8475,-5.80183335
2089,Tisza ,Aes Tisza Hungary,,Hungary,Natural Gas,Sub-critical Thermal,900.0,48.42536665,21.08016665
2090,Pocinho,Pocinho,,Portugal,Hydro,Dam with run-of-river generation,186.0,41.132224,-7.1171635
2091,Canicada,Canicada,,Portugal,Hydro,Dam on river with reservoir,60.0,41.6554935,-8.205678
2092,Pracana,Pracana,,Portugal,Hydro,Dam on river with reservoir,41.0,39.5667355,-7.8438295
2093,Iru,Iru Estonia,,Estonia,Natural Gas,Power and Heat Combined Cycle Gas Turbine,190.0,59.46403335,24.9748
2094,Pietersaari,Pietersaari Jakobstad Biomass Finland,,Finland,Waste,Sub-critical Steam Turbine,240.0,63.6884017901,22.7061402124
2095,Vercelli Actv,Vercelli,,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,50.0,45.30979,8.4127915
2096,Kladno,Kladno,,Czech Republic,Coal,Sub-critical Thermal,516.0,50.153298335,14.12874278
2097,Seraing,Seraing,,Belgium,Natural Gas,Combined Cycle Gas Turbine,460.0,50.5981795261,5.49386157914
2098,Eesti,Estonia Eesti Estonia,,Estonia,Oil,Sub-critical Steam Turbine,1610.0,59.274589,27.902917
2099,Balti,Balti Estonia,,Estonia,Oil,Sub-critical Steam Turbine,765.0,59.353133,28.122165
2100,Beznau,Beznau,,Switzerland,Nuclear,,760.0,47.55225,8.22835555555
2101,Bahia  Bizkaia,Bahia Bizkaia Bbe,,Spain,Natural Gas,Open Cycle Gas Turbine,800.0,43.3546,-3.08816665
2102,Barking,Barking,,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,1000.0,51.521199,0.1471917
2103,Borsodchem,Bc Borsodchem Hungary,,Hungary,Natural Gas,Power and Heat Open Cycle Gas Turbine,47.0,48.24765,20.64046665
2104,Serene Melfi,Bg Melfi,,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,100.0,41.0662555,15.7115055
2105,Muehleberg Wkw,Muehleberg,,Switzerland,Hydro,Weir on a River,45.0,46.9619281881,7.27270937652
2106,Muehleberg,Muehlberg,,Switzerland,Nuclear,,372.0,46.9689444445,7.2680277778
2107,Timelkam,Timelkam,,Austria,Natural Gas,Power and Heat Combined Cycle Gas Turbine,405.0,48.0080679475,13.5985486755
2108,Kelenfold,Kelenfold Hungary,,Hungary,Natural Gas,Power and Heat Combined Cycle Gas Turbine,196.0,47.4802049947,19.0481037277
2109,Kispest,Kispest Hungary,,Hungary,Natural Gas,Power and Heat Combined Cycle Gas Turbine,114.0,47.4774049947,19.1036037277
2110,Ujpest,Ujpest Hungary,,Hungary,Natural Gas,Power and Heat Combined Cycle Gas Turbine,110.0,47.5260049946,19.0711037277
2111,Batak,Batak,,Bulgaria,Hydro,Dam on river with reservoir,46.8,41.9362945,24.19303335
2112,Ivaylovgrad,Ivaylovgrad,,Bulgaria,Hydro,Dam on river with reservoir,104.0,41.55851665,26.12036665
2113,Sestrimo,Sestrimo,,Bulgaria,Hydro,Water discharged from another project,240.0,42.21253335,23.91623335
2114,Krichim,Krichim,,Bulgaria,Hydro,Dam on river with reservoir,80.0,42.02089,24.46734985
2115,Stouden Kladenets,Studen Kladenets,,Bulgaria,Hydro,Dam on river with reservoir,82.0,41.60975,25.64575
2116,Kardjali,Kardzhali,,Bulgaria,Hydro,Dam on river with reservoir,106.0,41.6417,25.35333335
2117,Peshtera,Peshtera,,Bulgaria,Hydro,Dam on river with reservoir,128.0,42.02341665,24.27895
2118,Momina Klissura,Momina Klisura,,Bulgaria,Hydro,Water discharged from another project,120.0,42.22428335,23.95803335
2119,Teshel,Teshel,,Bulgaria,Hydro,Dam on river with reservoir,60.0,41.66306665,24.25983335
2120,Maritza East ,Maritsa Iztok,,Bulgaria,Coal,Super-critical Thermal,1450.0,42.25571,26.1335075
2121,Volklingen Fenne,Ölklingen Fens,,Germany,Coal,Cogeneration Power and Heat Steam Turbine,466.0,49.2502579926,6.86996515808
2122,Tainionkoski,Tainionkoski Finland,,Finland,Hydro,Dam on river with reservoir,62.0,61.1911230434,28.7679111664
2123,Imatra,Imatra Finland,,Finland,Hydro,Dam on river with reservoir,178.0,61.1693730434,28.7634611664
2124,Miechowice,Miechowice,,Poland,Coal,Cogeneration Power and Heat Steam Turbine,125.0,50.348832,18.8430275
2125,Traengslet,Trängslet,,Sweden,Hydro,Dam on river with reservoir,330.0,61.39055,13.7156
2126,Naantali,Naantali Finland,,Finland,Coal,Sub-critical Thermal,375.0,60.4586325,22.054358
2127,Meri Pori,Meri Pori Finland,,Finland,Coal,Super-critical Thermal,565.0,61.6321295,21.4062545
2128,Sveg,Sveg,,Sweden,Hydro,Dam on river with reservoir,36.0,62.0306443247,14.3248860045
2129,Krokstrommen,Krokstrommen,,Sweden,Hydro,Dam on river with reservoir,103.0,62.04555,14.9002
2130,Escombreras Gn,Cartagena Escombreras Gn,,Spain,Natural Gas,Combined Cycle Gas Turbine,1200.0,37.5719365,-0.9406495
2131,Beverce,Beverce Robertville Project,,Belgium,Hydro,Dam on river with reservoir,9.2,50.4327805,6.0332715
2132,Sault Brenaz,Sault Brenaz,,France,Hydro,Dam with run-of-river generation,45.0,45.840214,5.410089
2133,Belley,Brens Virigin,,France,Hydro,Dam with run-of-river generation,90.0,45.721839,5.697101
2134,Brugge Herdersbrug,Brugge Herdersbrug,,Belgium,Natural Gas,Combined Cycle Gas Turbine,460.0,51.2600545,3.209815
2135,Gervans,Gervans,,France,Hydro,Dam with run-of-river generation,120.0,45.1559605,4.8105715
2136,Ruien,Ruien,,Belgium,Coal,Sub-critical Thermal,889.0,50.783336,3.48289
2137,Dunamenti,Dunamenti Hungary,,Hungary,Natural Gas,Sub-critical Thermal,1290.0,47.3270455,18.9191575
2138,Gelderland,Gelderland,,Netherlands,Coal,Sub-critical Thermal,590.0,51.85689,5.83122
2139,Bregnier Cordon,Bregnier Cordon,,France,Hydro,Dam with run-of-river generation,70.0,45.61033335,5.76916665
2140,Licq Atherey,Licq Atherey,,France,Hydro,Dam on a lake,27.4,43.057431,-0.8823685
2141,Zolling,Zolling,,Germany,Coal,Sub-critical Thermal,474.0,48.455290715,11.80064594
2142,Beaucaire,Beaucaire,,France,Hydro,Dam with run-of-river generation,210.0,43.8385334773,4.63530871582
2143,Sablons,Sablons,,France,Hydro,Dam with run-of-river generation,160.0,45.3138665,4.7860045
2144,Chautagne,Chautagne,,France,Hydro,Dam with run-of-river generation,90.0,45.899173,5.8295455
2145,Pierre Benite,Pierre Benite,,France,Hydro,Dam with run-of-river generation,84.0,45.7014475,4.833556
2146,Soulom,Soulom,,France,Hydro,Dam on a lake,57.0,42.9515,-0.06783335
2147,Vado Ligure,Tirrenopower Vado Ligure,,Italy,Coal,Sub-critical Thermal,660.0,44.2760835,8.4306665
2148,Lavrio Heron,Lavario,,Greece,Natural Gas,Combined Cycle Gas Turbine/Sub-critical Thermal,1398.0,37.7383169166,24.0640353333
2149,Gambsheim,Gambsheim,,France,Hydro,Dam with run-of-river generation,108.0,48.6327105643,7.83097903442
2150,Rya Goteborg,Rya,,Sweden,Natural Gas,Power and Heat Combined Cycle Gas Turbine,261.0,57.6997811552,11.9286467685
2151,Roznow,Roznow,,Poland,Hydro,Dam on river with reservoir,50.0,49.7666135,20.6803305
2152,Czchow,Czchow,,Poland,Hydro,Water discharged from another project,8.0,49.8236314059,20.6805585329
2153,Vaskiluoto,Vaskiluoto Finland,,Finland,Coal,Sub-critical Thermal,390.0,63.068365,21.6701195
2154,Thessaloniki Power,Thessaloniki,,Greece,Natural Gas,Combined Cycle Gas Turbine,400.0,40.6637389,22.91444445
2155,Serres,Thermie Serres,,Greece,Natural Gas,Gas Engines,16.0,41.074478,23.534061
2156,Hanasaari,Hanasaari B Finland,,Finland,Coal,Sub-critical Thermal,220.0,60.1768123722,24.9532728928
2157,Vuosaari,Vuosaari &B Finland,,Finland,Natural Gas,Combined Cycle Gas Turbine,630.0,60.2198315,25.169192
2158,Nordjyllandsvaerket,Nordjylland Denmark,,Denmark,Coal,Both Sub and Super Critical Thermal,716.0,57.07307658,10.042099945
2159,Kesznyeten,Kesznyeten Hernadviz Hungary,,Hungary,Hydro,Barrage with run-of-river Generation,4.4,47.96633335,21.0415
2160,Debe,Debe,,Poland,Hydro,Dam on river with reservoir,20.0,52.444894,20.925118
2161,Myczkowce,Myczkowce,,Poland,Hydro,Dam on river with reservoir,8.2,49.4506020887,22.3694100086
2162,Porabka Zar,Porabka Zar,,Poland,Hydro,Dam on river with reservoir/Pumped Storage Power Plant,512.6,49.8056319446,19.2125447284
2163,Opole,Opole,,Poland,Coal,Sub-critical Thermal,1532.0,50.7514125,17.8822325
2164,Zarnowiec,Zarnowiec,,Poland,Hydro,Pumped Storage Power Plant,716.0,54.7551102028,18.083770523
2165,Dychow,Dychow,,Poland,Hydro,Pumped Storage Power Plant,90.0,51.9873829634,15.0571077842
2166,Solina,Solina,,Poland,Hydro,Pumped Storage Power Plant,200.0,49.3952437585,22.4568297882
2167,Belchatow,Belchatow,,Poland,Coal,Sub-critical Thermal/Super-critical Thermal,5298.0,51.2677194445,19.3258777778
2168,Bydgoszcz,Bydgoszcz Ec,,Poland,Coal,Cogeneration Power and Heat Steam Turbine,227.0,53.0990835,18.08785
2169,Zeran,Zeran,,Poland,Coal,Cogeneration Power and Heat Steam Turbine,350.0,52.2946975,20.9936275
2170,Siekierki,Siekierki,,Poland,Coal,Sub-critical Thermal,622.0,52.1884155,21.089729
2171,Zlatolicje,Zlatolicje Poqwer,,Slovenia,Hydro,Dam on a canal,144.0,46.5013611,15.71683335
2172,Bostanj,Bostanj,,Slovenia,Hydro,Dam with run-of-river generation,31.5,46.015822,15.2819
2173,Dravograd,Dravograd Poqwer,,Slovenia,Hydro,Dam on river with reservoir,36.0,46.587328,15.0189835
2174,Plave,Plave Poqwer,,Slovenia,Hydro,Dam on river with reservoir,34.0,46.047041,13.5991
2175,Doblar,Doblar Poqwer,,Slovenia,Hydro,Dam on river with reservoir,70.0,46.116836,13.688936
2176,Blanca,Arto Blanca,,Slovenia,Hydro,Barrage with run-of-river Generation,38.0,45.9868165,15.3907
2177,Fala,Fala Poqwer,,Slovenia,Hydro,Dam on river with reservoir,58.0,46.5513945,15.451611
2178,Trbovlje,Trbovlje Tes,,Slovenia,Coal,Sub-critical Thermal,125.0,46.125778,15.0611395
2179,Sostanj,Sostanj Tes,,Slovenia,Coal,Sub-critical Thermal,695.0,46.37615,15.0510055
2180,Formin,Formin Poqwer,,Slovenia,Hydro,Dam on river with reservoir,116.0,46.4113250026,15.952040065
2181,Vuzenica,Vuzenica Poqwer,,Slovenia,Hydro,Dam with run-of-river generation,78.0,46.5948445,15.159761
