"id","Name","Fueltype","Classification","Country","Capacity","lat","lon","Geoposition","File"
237,"Mauranger","Hydro","Run-of-river, Reservoir","Norway",500,60.13162,6.3315,"60.13162,6.3315",
238,"Mel","Hydro","Run-of-river","Norway",52,61.34671,6.55652,"61.34671,6.55652",
239,"Mesna","Hydro","Run-of-river","Norway",37.5,61.11702,10.47094,"61.11702,10.47094",
240,"Mosvik","Hydro","Run-of-river","Norway",37,63.72654,10.86853,"63.72654,10.86853",
241,"Naddvik","Hydro","Run-of-river","Norway",100,61.18224,7.63551,"61.18224,7.63551",
242,"Nedalfoss","Hydro","Run-of-river","Norway",25,,,,
243,"Nore","Hydro","Run-of-river, Reservoir","Norway",314,60.2577633333,8.9721333333,"60.2577633333,8.97213333333",
244,"Nye osa","Hydro","Run-of-river","Norway",90,61.24625,11.74254,"61.24625,11.74254",
245,"Oksenelvane","Hydro","Run-of-river","Norway",26,61.84183,5.80134,"61.84183,5.80134",
246,"Oksla","Hydro","Run-of-river","Norway",240,60.1201,6.55664,"60.1201,6.55664",
247,"Rendalen","Hydro","Run-of-river","Norway",47,61.8123,11.12142,"61.8123,11.12142",
248,"Rössaga, lower","Hydro","Run-of-river","Norway",240,,,,
249,"Rössaga, upper","Hydro","Run-of-river","Norway",225,,,,
250,"Savtso","Hydro","Run-of-river","Norway",150,69.75,23.733333,"69.75,23.733333",
251,"Siso","Hydro","Run-of-river","Norway",92,67.32504,15.70731,"67.32504,15.70731",
252,"Sjönsta","Hydro","Run-of-river","Norway",63,67.19455,15.70855,"67.19455,15.70855",
253,"Skibotn","Hydro","Run-of-river","Norway",72,69.31533,20.35819,"69.31533,20.35819",
254,"Skjomen","Hydro","Run-of-river, Reservoir","Norway",500,68.20376,17.36071,"68.20376,17.36071",
255,"Solbjonnsfjord","Hydro","Run-of-river","Norway",8,59.961667,5.210278,"59.961667,5.210278",
256,"Sorfjord","Hydro","Run-of-river","Norway",44,68.06446,16.6638,"68.06446,16.6638",
257,"Strielva","Hydro","Run-of-river","Norway",1.7,68.61086,15,"68.61086,15.0",
258,"Sundsbarm","Hydro","Run-of-river","Norway",200,59.49762,8.63427,"59.49762,8.63427",
259,"Svartisen","Hydro","Run-of-river, Reservoir","Norway",1300,66.7282,13.91351,"66.7282,13.91351",
260,"Svelgen","Hydro","Run-of-river","Norway",88,61.76876,5.30759,"61.76876,5.30759",
261,"Sysenvatn","Hydro","Run-of-river","Norway",620,60.416667,7.416667,"60.416667,7.416667",
262,"Sima","Hydro","Run-of-river, Reservoir","Norway",2240,60.49965,7.14204,"60.49965,7.14204",
263,"Tafjord","Hydro","Run-of-river","Norway",82,62.23118,7.42364,"62.23118,7.42364",
264,"Tinfos","Hydro","Run-of-river","Norway",38,59.56858,9.2645,"59.56858,9.2645",
265,"Tjodan","Hydro","Run-of-river, Reservoir","Norway",220,59.05214,6.6524,"59.05214,6.6524",
