id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1734,,Hol,,,,Norway,Hydro,Run-Of-River,62.0,60.57795,8.40952,
1736,,Jörundland,,,,Norway,Hydro,Run-Of-River,55.0,58.90642,8.23129,
1737,,Langavatn,,,,Norway,Hydro,Run-Of-River,500.0,66.33696,14.16666,
1738,,Leirdöla,,,,Norway,Hydro,Run-Of-River,100.0,61.43771,7.24323,
1739,,Lyse,,,,Norway,Hydro,Run-Of-River,170.0,59.05425,6.6266,
1742,,"Rössaga, lower",,,,Norway,Hydro,Run-Of-River,240.0,,,
1743,,"Rössaga, upper",,,,Norway,Hydro,Run-Of-River,225.0,,,
1744,,Savtso,,,,Norway,Hydro,Run-Of-River,150.0,69.75,23.733333,
1745,,Sjönsta,,,,Norway,Hydro,Run-Of-River,63.0,67.19455,15.70855,
1746,,Solbjonnsfjord,,,,Norway,Hydro,Run-Of-River,8.0,59.961667,5.210278,
1747,,Strielva,,,,Norway,Hydro,Run-Of-River,1.7,68.61086,15.0,
1748,,Sysenvatn,,,,Norway,Hydro,Run-Of-River,620.0,60.416667,7.416667,
1749,,Sima,,,,Norway,Hydro,Reservoir,2240.0,60.49965,7.14204,
1751,,Tyin,,,,Norway,Hydro,Reservoir,884.0,61.31018,7.83131,
1752,,Vinstra extension,,,,Norway,Hydro,Run-Of-River,100.0,61.5935,9.756452,
1753,,Buavatn,,,,Norway,Hydro,Pumped Storage,40.0,63.84514,10.68782,
1754,,Hjorteland,,,,Norway,Hydro,Pumped Storage,2.2,59.37483,6.44951,
1755,,Jukla,,,,Norway,Hydro,Pumped Storage,40.0,60.18911,6.38306,
1756,,Stolsdal,,,,Norway,Hydro,Pumped Storage,17.0,55.31077,6.61508,
1758,,Tjonna,,,,Norway,Hydro,Pumped Storage,0.2,60.39614,5.07197,
1761,,Berdalsvatn,,,,Norway,Hydro,Reservoir,5.0,61.258469,7.821691,
1762,,Fjergen,,,,Norway,Hydro,Reservoir,60.0,63.4335474,11.91072464,
1763,,Harpefossen,,,,Norway,Hydro,Reservoir,46.0,61.58292,9.84108,
1764,,Holmvatn,,,,Norway,Hydro,Reservoir,350.0,66.31062,13.56354,
1765,,Katlavatn,,,,Norway,Hydro,Reservoir,72.0,60.80479,7.36825,
1767,,Langvatn,,,,Norway,Hydro,Reservoir,270.0,66.33696,14.16666,
1768,,Namsvatn,,,,Norway,Hydro,Reservoir,16.0,65.01869,13.750086,
1769,,Riskallvatn,,,,Norway,Hydro,Reservoir,112.0,,,
1772,,Styggevatn,,,,Norway,Hydro,Reservoir,290.0,61.771028,7.465787,
1774,,Urar,,,,Norway,Hydro,Reservoir,154.0,59.443056,7.255,
1776,,Goldisthal,,,,Germany,Hydro,Pumped Storage,1060.0,50.5,11.17,energy_storage_exchange
1777,,Reisseck,,,,Austria,Hydro,Pumped Storage,430.0,47.08,13.34,energy_storage_exchange
1783,,Geesthacht,,,,Germany,Hydro,Pumped Storage,120.0,53.44,10.36,energy_storage_exchange
1785,,Witznau,,,,Germany,Hydro,Pumped Storage,220.0,47.69,8.25,energy_storage_exchange
1786,,Wehr,,,,Germany,Hydro,Pumped Storage,910.0,47.64,7.91,energy_storage_exchange
1787,,Säckingen,,,,Germany,Hydro,Pumped Storage,360.0,47.57,7.95,energy_storage_exchange
1790,,Kirchentellinsfurt,,,,Germany,Hydro,Pumped Storage,1.3,48.6,9.1,energy_storage_exchange
