id,Carma,Fias,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
566,Paxareiras  Monte,,,Paxareiras Montevos Paxareiras,Spain,Wind,,78.0,42.823295044,-9.08912658691,Spain Power Plants Over 10 MW.csv
567,Glens Of Foudland,,,Glens Of Foudland,United Kingdom,Wind,,26.0,57.1167581915,-3.45006699939,UK Power Plant.csv
568,Barrow Offshore,,,Barrow,United Kingdom,Wind,,90.0,53.183602025,-1.86525230372,UK Power Plant.csv
569,Pical,,,Pical,Spain,Wind,,30.85,42.936202,-4.308332,Spain Power Plants Over 10 MW.csv
570,Toranzo,,,Toranzo,Spain,Wind,,27.06,41.763101,-1.888179,Spain Power Plants Over 10 MW.csv
571,Ciprian,,,Ciprian,Spain,Wind,,17.85,42.17328,-6.659583,Spain Power Plants Over 10 MW.csv
572,Aguallal,,,Aguallal Ampl. Re,Spain,Wind,,36.83,42.035687,-6.905408,Spain Power Plants Over 10 MW.csv
573,Bobia  Isidro,,,Bobia Isidro,Spain,Wind,,49.3,43.5166667,-6.6833333,Spain Power Plants Over 10 MW.csv
574,Canto,,,Canto Ampliada Con Re,Spain,Wind,,20.28,41.084511,-3.859921,Spain Power Plants Over 10 MW.csv
575,Dukovany,,,Dukovany,Czech Republic,Nuclear,,2000.0,49.085,16.1488888889,EU Nuclear Power.csv
576,Temelin,,,Temelin,Czech Republic,Nuclear,,2160.0,49.18,14.3761111111,EU Nuclear Power.csv
577,Wahlitz,,,WäHlitz,Germany,Coal,,37.4,51.15,12.0833333,Germany Power Plants (conventional).csv
578,Deuben,,,Deuben,Germany,Coal,,86.0,51.11760775,12.0445301,Germany Power Plants (conventional).csv
579,Heidenheim,,,Ihkw Heidenheim,Germany,Natural Gas,,26.5,48.6773738033,10.1522738398,Germany Power Plants (conventional).csv
580,Cottam,,,Cottam,United Kingdom,Coal,,2100.0,53.0499542416,-0.726188881217,UK Power Plant.csv
581,West Burton,,,West Burton,United Kingdom,Coal,,2012.0,53.360733,-0.811551,UK Power Plant.csv
582,Mudefer,,,Mudefer,Spain,Wind,,57.6,41.0333333,0.25,Spain Power Plants Over 10 MW.csv
583,Hinojal,,,Hinojal,Spain,Wind,,21.2,36.01393,-5.606949,Spain Power Plants Over 10 MW.csv
584,Pedregoso,,,Pedregoso D,Spain,Wind,,48.6,36.01393,-5.606949,Spain Power Plants Over 10 MW.csv
585,Huelva Gemasa,,,Gemasa,Spain,Natural Gas,,27.31,37.2583333,-6.9508333,Spain Power Plants Over 10 MW.csv
586,Canredondo,,,Canredondo,Spain,Wind,,28.0,40.812572,-2.493773,Spain Power Plants Over 10 MW.csv
587,Bolarque,,,Bolarque,Spain,Hydro,,242.94,40.419023,-2.922556,Spain Power Plants Over 10 MW.csv
588,Belesar,,,Belesar,Spain,Hydro,,331.01,42.608758658,-7.77115345001,Spain Power Plants Over 10 MW.csv
589,Tambre,,,Tambre,Spain,Hydro,,73.04,42.7858267671,-8.88733863831,Spain Power Plants Over 10 MW.csv
590,Las Picadas,,,Picadas,Spain,Hydro,,24.32,40.3235958272,-4.20319318771,Spain Power Plants Over 10 MW.csv
591,Camporriondi,,,Camporriondi,Spain,Hydro,,15.2,43.3513965522,-5.12915611267,Spain Power Plants Over 10 MW.csv
592,Regueiro (Mao),,,Regueiro,Spain,Hydro,,28.64,42.3825770118,-7.56842136383,Spain Power Plants Over 10 MW.csv
593,Portodemouros,,,Portodemouros,Spain,Hydro,,88.12,42.309432,-8.204886,Spain Power Plants Over 10 MW.csv
594,Frieira Ecologico,,,Frieira,Spain,Hydro,,178.15,42.1396684973,-8.10125827789,Spain Power Plants Over 10 MW.csv
595,Burguillo,,,Burguillo,Spain,Hydro,,61.95,40.4153258319,-4.50156211853,Spain Power Plants Over 10 MW.csv
596,Buendia,,,Buendia,Spain,Hydro,,55.29,40.3664274192,-2.75645256042,Spain Power Plants Over 10 MW.csv
597,Castrejon,,,Castrejon,Spain,Hydro,,80.73,39.887964,-4.453876,Spain Power Plants Over 10 MW.csv
598,Aalter,,,Aalter Tj,Belgium,Oil,,20.0,51.090167,3.44693,Belgium Power Plant.csv
599,Farge ,,,Farge,Germany,Coal,,350.0,53.138943065,8.661659263,Germany Power Plants (conventional).csv
600,Garraf,,,Vertedero Garraf,Spain,Waste,,12.504,41.3887868891,2.15898513794,Spain Power Plants Over 10 MW.csv
601,Romerbrucke,,,RöMerbrüCke,Germany,Natural Gas,,125.0,49.23384755,6.9981897,Germany Power Plants (conventional).csv
602,Beveren Phenolchemie,,,Beveren Ineos Phenolchemie,Belgium,Natural Gas,,22.8,51.211872,4.25633,Belgium Power Plant.csv
603,Tortosa Energia,,,Tortosa Energia,Spain,Natural Gas,,39.58,40.812492,0.521602,Spain Power Plants Over 10 MW.csv
604,Colortex Ontinyent,,,Colortex,Spain,Natural Gas,,13.6,38.8166667,-0.6166667,Spain Power Plants Over 10 MW.csv
605,Tine,,,Monthey Tine,Switzerland,Hydro,,9.8,46.255457,6.960665,Switzerland Power Plant.csv
606,Lessoc,,,Lessoc,Switzerland,Hydro,,8.56,46.5048393845,7.06211686134,Switzerland Power Plant.csv
607,Avise,,,Avise,Italy,Hydro,,146.7,45.70872365,7.1398219,Italy Power Plant.csv
608,Valpelline,,,Valpelline,Italy,Hydro,,130.0,45.824862,7.3255,Italy Power Plant.csv
609,Redondal,,,Redondal,Spain,Wind,,30.6,42.579427,-6.468368,Spain Power Plants Over 10 MW.csv
610,Vikesa,,,Vikesa,Norway,Hydro,,5.0,58.63759,6.09133,Norway Power Plants (ENTSOE) .csv
611,Dalmine,,,Tenaris Dalmine S..,Italy,Natural Gas,,131.0,45.635556,9.609722,Italy Power Plant.csv
612,Moralejo,,,Moralejo,Spain,Wind,,28.25,38.9666667,-1.2166667,Spain Power Plants Over 10 MW.csv
613,Biddinghuizen Windst,,,Windstroom,Netherlands,Wind,,10.8,52.455,5.693056,Netherlands Power Plant.csv
614,Burbo Bank,,,Burbo Bank,United Kingdom,Wind,,90.0,52.8296404304,-1.76590258033,UK Power Plant.csv
615,Hollandsbjerg,,,Hollandsbjerg,Denmark,Wind,,16.5,56.495178,10.278246,Denmark Power Plant.csv
616,Kentish Flats,,,Kentish Flats,United Kingdom,Wind,,90.0,51.40585955,0.016104329751,UK Power Plant.csv
617,Gunfleet Sands,,,Gunfleet Sands,United Kingdom,Wind,,185.0,51.6203422478,0.081238185951,UK Power Plant.csv
618,Tjaerborg,,,TjæReborg Enge,Denmark,Wind,,17.0,55.464574,8.579683,Denmark Power Plant.csv
