None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File
90,Chancy pougny,Chancy pougny,Chancy pougny,Chancy pougny,Hydro,Hydro,Hydro,Hydro,,Dam With Run-Of-River Generation,Run-of-river,,Switzerland,Switzerland,Switzerland,Switzerland,30.0,49.0,54.48,54.48,,46.1604,46.1598711889,,,5.9766,5.97534860047,,,,BFE,Switzerland Power Plant.csv
91,Hopflauenen trift,Hopflauenen,Hopflauenen trift,Hopflauenen trift,Hydro,Hydro,Hydro,Hydro,,Dam On A Lake,Reservoir,,Switzerland,Switzerland,Switzerland,Switzerland,79.0,92.0,85.4,85.4,,46.71484,46.715113414,46.21092735,,8.27435,8.27751698219,7.25458285,,,BFE,Switzerland Power Plant.csv
92,Grimsel ost,Grimsel,Grimsel grimselsee,Grimsel,Hydro,Hydro,Hydro,Hydro,,Pumped Storage,"Pumped storage with natural inflow, Reservoir",,Switzerland,Switzerland,Switzerland,Switzerland,352.2,348.0,380.5,348.0,,46.5653591063,46.5717050717,46.3129505,,8.32775617981,8.32643029531,7.7817956,,,BFE,Switzerland Power Plant.csv
93,Seujet,Seujet,Seujet,Seujet,Hydro,Hydro,Hydro,Hydro,,Dam With Run-Of-River Generation,Run-of-river,,Switzerland,Switzerland,Switzerland,Switzerland,8.7,5.6,8.7,8.7,,46.2042,46.2031197477,,,6.1355,6.13447158551,,,,BFE,Switzerland Power Plant.csv
94,Croix,Croix,Croix,Croix,Hydro,Hydro,Hydro,Hydro,,Dam On A Lake,Reservoir,,Switzerland,Switzerland,Switzerland,Switzerland,55.2,66.0,66.0,66.0,,46.30874,46.3081744934,46.9654549,,7.43558,7.43410089912,7.4444686812,,,BFE,Switzerland Power Plant.csv
95,Gabi,Gabi,Gabi,Gabi,Hydro,Hydro,Hydro,Hydro,,Dam On A Lake,Run-of-river,,Switzerland,Switzerland,Switzerland,Switzerland,11.0,11.0,11.33,11.33,,46.1882,46.1882115335,,,8.0702,8.0700669845,,,,BFE,Switzerland Power Plant.csv
96,Niederried radelfingen,Niederried radelfingen,Niederried,Niederried,Hydro,Hydro,Hydro,Hydro,,Weir On A River,Run-of-river,,Switzerland,Switzerland,Switzerland,Switzerland,15.0,15.0,15.0,15.0,,47.0031,47.0031721765,,,7.241,7.24113567118,,,,BFE,Switzerland Power Plant.csv
97,,Aussois + combe d'avrieux,Combe d'avrieux,Combe d'avrieux,,Hydro,Hydro,Hydro,,Dam On A Lake,Reservoir,,,France,France,France,,198.0,123.0,123.0,,45.215,45.21348,,,6.712,6.72053,,,,RTE,France Power Plant.csv
98,,Borssele,Borssele,Borssele,,Nuclear,Nuclear,Nuclear,,,Steam turbine,,,Netherlands,Netherlands,Netherlands,,515.0,512.0,515.0,,51.4311,51.43148,,,3.7175,3.71871,,,,Tennet_Q42015,EU Nuclear Power.csv
99,,Combigolfe,Combigolfe,Combigolfe,,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,,France,France,France,,430.0,425.0,425.0,,43.4072,43.41616,,,4.8676,4.86974,,,,RTE,France Power Plant.csv
100,,Croix metz toul,Croix metz,Croix metz,,Natural Gas,Natural Gas,Natural Gas,,Combined Cycle Gas Engine (Ccge),,,,France,France,France,,413.0,413.0,413.0,,48.675,48.69336,,,5.8917,5.91468,,,,RTE,France Power Plant.csv
101,,Eglisau,Eglisau,Eglisau,,Hydro,Hydro,Hydro,,Dam With Run-Of-River Generation,Run-of-river,,,Switzerland,Switzerland,Switzerland,,47.0,46.9,46.9,,47.5748,47.5749161402,46.981046,,8.4733,8.47332208664,7.724298,,,BFE,Switzerland Power Plant.csv
102,,Flevo maxima centrale,Maxima fl,Maxima centrale,,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,,Netherlands,Netherlands,Netherlands,,860.0,996.0,872.0,,52.5772,52.57753,52.5758512,,5.53,5.52959,5.5291275,,,Tennet_Q22015,Netherlands Power Plant.csv
103,,Grimsel,Grimsel oberaarsee,Grimsel oberaarsee,,Hydro,Hydro,Hydro,,Dam On River With Reservoir,Reservoir,,,Switzerland,Switzerland,Switzerland,,67.0,35.3,35.3,,46.57676,46.5753380766,46.98053,,8.333,8.33353407357,6.9010195,,,BFE,Switzerland Power Plant.csv
104,,Hemweg,Hemweg hw,Centrale hemweg,,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,,Netherlands,Netherlands,Netherlands,,435.0,1017.0,432.0,,52.4063,52.40537,52.4164011,,4.8418,4.84482,4.8261775,,,Tennet_Q42015,Netherlands Power Plant.csv
105,,Langeweide,Lage weide,Centrale lage wide,,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,,Netherlands,Netherlands,Netherlands,,266.0,247.0,247.0,,52.1026,52.10292,52.1163935,,5.0713,5.07137,5.0481529,,,Tennet_Q42015,Netherlands Power Plant.csv
106,,Maasvlakte electrabel,Mvl rotterdam,Mvl centrale rotterdam ,,Coal,Coal,Coal,,Thermal,"Steam turbine, Hard coal",,,Netherlands,Netherlands,Netherlands,,800.0,736.0,731.0,,51.9443,51.94496,51.9448191,,4.0723,4.06767,4.0720474,,,Tennet_Q22015,Netherlands Power Plant.csv
107,,Magnum netherland,Magnum,Magnum centrale,,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,,Netherlands,Netherlands,Netherlands,,1290.0,1311.0,1326.0,,53.448,53.45149,53.4363883,,6.8527,6.85268,6.8612103,,,Tennet_Q42015,Netherlands Power Plant.csv
108,,Martigues ponteau,Martigues ponteau,Martigues ponteau,,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,,France,France,France,,930.0,930.0,930.0,,43.3585119,43.35822,,,5.021612,5.02112,,,,RTE,France Power Plant.csv
109,,Moerdijk,Moerdijk,Moerdijk,,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,,Netherlands,Netherlands,Netherlands,,430.0,774.0,1574.0,,51.6861,51.68506,51.6850996,,4.580278,4.58094,4.5811681,,,Tennet_Q42015,Netherlands Power Plant.csv
110,,Roca,Roca roca,Centrale roca ,,Natural Gas,Natural Gas,Natural Gas,,,,,,Netherlands,Netherlands,Netherlands,,218.0,218.0,218.0,,51.9536,51.95366,51.9535124,,4.5614,4.56155,4.5623904,,,Tennet_Q22015,Netherlands Power Plant.csv
111,Dukovany,,Dukovany,Dukovany,Nuclear,,Nuclear,Nuclear,,,Steam turbine,,Czech Republic,,Czech Republic,Czech Republic,1910.4,,2010.0,2000.0,49.085,,49.08495,,16.1488888889,,16.15006,,,,CEPS,EU Nuclear Power.csv
112,Temelin,,Temelín,Temelin,Nuclear,,Nuclear,Nuclear,,,Steam turbine,,Czech Republic,,Czech Republic,Czech Republic,2000.0,,2157.0,2160.0,49.18,,49.18109,,14.3761111111,,14.38641,,,,CEPS,EU Nuclear Power.csv
113,Vieze,,Monthey vièze,Monthey vièze,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,10.2,,13.6,13.6,46.255457,,46.2492602077,,6.960665,,6.94720705322,,,,BFE,Switzerland Power Plant.csv
114,Tine,,Monthey tine,Monthey tine,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,9.2,,9.8,9.8,46.255457,,46.2492602077,,6.960665,,6.94720705322,,,,BFE,Switzerland Power Plant.csv
115,Lessoc,,Lessoc,Lessoc,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,8.535,,8.56,8.56,46.5048393845,,46.5060508043,,7.06211686134,,7.05326712822,,,,BFE,Switzerland Power Plant.csv
116,Emile huchet cc,,Emile huchet,Emile huchet,Natural Gas,,Natural Gas,Natural Gas,,,,,France,,France,France,860.0,,826.0,826.0,49.12,,49.15412,,6.71,,6.7047,,,,RTE,France Power Plant.csv
117,Emile huchet,,Emile huchet,Emile huchet,Coal,,Coal,Coal,,,"Steam turbine, Hard coal",,France,,France,France,1134.0,,995.0,995.0,49.1580778465,,49.15412,,7.02412605286,,6.7047,,,,RTE,France Power Plant.csv
118,Lucy,,Lucy,Lucy,Coal,,Coal,Coal,,,"Steam turbine, Hard coal",,France,,France,France,270.0,,245.0,245.0,46.67,,46.66714,,4.35,,4.35008,,,,RTE,France Power Plant.csv
119,Provence,,Provence,Provence,Coal,,Coal,Coal,,,"Steam turbine, Hard coal",,France,,France,France,888.0,,595.0,595.0,43.49,,46.46883,,5.5,,5.48957,,,,RTE,France Power Plant.csv
120,Vogelgrun,,Vogelgrun,Vogelgrun,Hydro,,Hydro,Hydro,,,Run-of-river,,France,,France,France,140.0,,140.5,140.5,48.0178314922,,48.0203,,7.52795219421,,7.57393,,,,RTE,France Power Plant.csv
121,Randens,,Randens,Randens,Hydro,,Hydro,Hydro,,,Run-of-river,,France,,France,France,124.2,,124.2,124.2,45.543586,,45.52711,,6.302149,,6.31996,,,,RTE,France Power Plant.csv
122,Hermillion,,Hermillon,Hermillon,Hydro,,Hydro,Hydro,,,Run-of-river,,France,,France,France,114.0,,115.6,115.6,45.2833333,,45.28424,,6.35,,6.35799,,,,RTE,France Power Plant.csv
123,Laurent,,St laurent,St. laurent,Nuclear,,Nuclear,Nuclear,,,Steam turbine,,France,,France,France,1912.0,,1830.0,1912.0,47.72,,47.72006,,1.5775,,1.58009,,,,RTE,EU Nuclear Power.csv
124,Gennevilliers,,Gennevilliers,Gennevilliers,Natural Gas,,Natural Gas,Natural Gas,,,,,France,,France,France,215.0,,203.0,203.0,48.9333333,,48.93699,,2.3,,2.26144,,,,RTE,France Power Plant.csv
125,Fieschertal,,Fieschertal,Fieschertal,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,65.0,,64.0,64.0,46.4220025395,,46.4260956687,47.5669187,8.14541816711,,8.14113296389,9.1097539,,,BFE,Switzerland Power Plant.csv
126,Vissoie,,"Vissoie ""groupe auxiliaire""","Vissoie ""groupe auxiliaire""",Hydro,,Hydro,Hydro,,,"Reservoir, Run-of-river",,Switzerland,,Switzerland,Switzerland,45.0,,50.68,50.68,46.216326,,46.2099376546,46.4959932,7.585437,,7.58596983367,7.5743317,,,BFE,Switzerland Power Plant.csv
127,Giumaglio,,Giumaglio,Giumaglio,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,8.7,,8.94,8.94,46.274317,,46.2824127218,,8.682139,,8.66971883413,,,,BFE,Switzerland Power Plant.csv
128,Bitsch,,Bitsch,Bitsch biel,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,356.0,,340.0,340.0,46.35,,46.3336461722,46.724144,7.9666667,,8.0075990397,6.5317943,,,BFE,Switzerland Power Plant.csv
129,Martigny bourg,,Martigny bourg,Martigny bourg,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,21.0,,22.0,22.0,46.0906147477,,46.0883098661,,7.06369400024,,7.05906976663,,,,BFE,Switzerland Power Plant.csv
130,Turtmann,,Turtmann,Turtmann,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,24.0,,23.9,23.9,46.301478,,46.2954022598,,7.701951,,7.68599836405,,,,BFE,Switzerland Power Plant.csv
131,Litziruti arosa,,Arosa litzirüti,Litzirüti,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,5.0,,5.0,5.0,46.7993783672,,46.8000493529,,9.70462489449,,9.70591198066,,,,BFE,Switzerland Power Plant.csv
132,Luen,,Molinis lüen,"Lüen plessur, clasaurer",Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,7.0,,7.2,7.2,46.8498606899,,46.8284428074,,9.53287124634,,9.60614992526,,,,BFE,Switzerland Power Plant.csv
133,Filisur,,Filisur,Filisur,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,64.0,,65.0,65.0,46.672147,,46.6698919694,,9.688013,,9.68920263555,,,,BFE,Switzerland Power Plant.csv
134,Pintrun,,Pintrun,Pintrun,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,6.2,,6.48,6.48,46.7395037348,,46.8148577632,,8.8286818132,,9.34883064445,,,,BFE,Switzerland Power Plant.csv
135,Soazza,,Soazza,Soazza,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,80.0,,83.0,83.0,46.365919,,46.3424239041,46.4205806,9.221554,,9.21216635065,7.8192935,,,BFE,Switzerland Power Plant.csv
136,Reichenau,,Reichenau,Reichenau,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,18.0,,19.06,19.06,46.5333333,,46.8377337086,,9.2,,9.44733101447,,,,BFE,Switzerland Power Plant.csv
137,Sedrun,,Sedrun,Sedrun,Hydro,,Hydro,Hydro,,,"Reservoir, Run-of-river",,Switzerland,,Switzerland,Switzerland,150.75,,150.75,150.75,46.681556,,46.670049651,,8.778587,,8.76860353742,,,,BFE,Switzerland Power Plant.csv
138,Siebnen,,Wägital siebnen,Siebnen,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,51.52,,51.52,51.52,47.1744866153,,47.1716280522,46.3452943,8.8978099823,,8.90006739911,7.0417797,,,BFE,Switzerland Power Plant.csv
139,Champsec,,Champsec,Champsec,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,16.45,,8.7,8.7,46.05806,,46.0571253575,,7.242957,,7.24806388388,,,,BFE,Switzerland Power Plant.csv
140,Riddes,,Riddes,Riddes,Hydro,,Hydro,Hydro,,,"Run-of-river, Reservoir",,Switzerland,,Switzerland,Switzerland,278.5,,258.31,258.0,46.1727579102,,46.16317412,46.79978885,7.22359657288,,7.21882208824,7.1589722361,,,BFE,Switzerland Power Plant.csv
141,Goschenen,,Göschenen andermatt,Göschenen andermatt,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,33.26,,33.26,33.26,46.66816,,46.6673628552,46.3129505,8.587094,,8.5853141019,7.7817956,,,BFE,Switzerland Power Plant.csv
142,Fionnay mauvoisin,,Fionnay mauvoisin,Fionnay mauvoisin,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,127.0,,140.0,140.0,46.229076,,46.0304047252,46.4927213,7.359417,,7.30795254991,7.5587618,,,BFE,Switzerland Power Plant.csv
143,Goschenernalp,,Göschenen göscheneralp,Göschenen göscheneralp,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,164.8,,164.8,164.8,46.65,,46.6673628552,,8.4833333,,8.5853141019,,,,BFE,Switzerland Power Plant.csv
144,Rempen,,Wägital rempen,Rempen,Hydro,,Hydro,Hydro,,,Pumped storage,,Switzerland,,Switzerland,Switzerland,60.0,,66.24,66.24,47.13848,,47.1383731791,47.6965281,8.897426,,8.89757736059,8.4578613,,,BFE,Switzerland Power Plant.csv
145,Reckingen,,Reckingen,Reckingen,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,38.0,,39.5,39.5,46.469893,,47.5710071549,47.1290506,8.24164,,8.3380806201,7.5592554,,,BFE,Switzerland Power Plant.csv
146,Klingnau,,Klingnau,Klingnau,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,37.5,,42.6,42.6,47.609723,,47.5945791001,,8.237497,,8.22572773348,,,,BFE,Switzerland Power Plant.csv
147,Augst,,Augst,Augst,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,28.0,,35.0,35.0,47.5355731373,,47.5367624123,47.4477899,7.71467685699,,7.70968848078,7.5624753,,,BFE,Switzerland Power Plant.csv
148,Bremgarten zufikon,,Bremgarten zufikon,Bremgarten zufikon,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,20.0,,20.0,20.0,47.3510939057,,47.3436544275,,8.3421421051,,8.34562802508,,,,BFE,Switzerland Power Plant.csv
149,Piottino,,Piottino,Piottino,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,60.0,,72.9,72.9,46.4425886447,,46.4383309577,47.3086495,8.83953094482,,8.83996336006,9.5558082,,,BFE,Switzerland Power Plant.csv
150,Stalvedro aet,,Stalvedro aet,Stalvedro aet,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,13.0,,14.0,14.0,46.513609,,46.5174111108,,8.678302,,8.67766693812,,,,BFE,Switzerland Power Plant.csv
151,Nuova biaschina,,Nuova biaschina,Biaschina,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,135.0,,141.0,141.0,46.3720430197,,46.3649512107,46.9551692,8.91609191895,,8.92878536777,6.8372713,,,BFE,Switzerland Power Plant.csv
152,Kandergrund,,Kandergrund,Kandergrund,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,18.4,,19.0,19.0,46.54955,,46.5427473984,,7.660363,,7.65948659951,,,,BFE,Switzerland Power Plant.csv
153,Bannwil,,Bannwil,Bannwil,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,53.76,,28.5,28.5,47.234045,,47.2293726093,46.5394258,7.731013,,7.73229827172,9.2435939,,,BFE,Switzerland Power Plant.csv
154,Wynau,,Wynau,Wynau,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,9.38,,20.2,12.0,47.2556989436,,47.2562522814,,7.81625747681,,7.78608365626,,,,BFE,Switzerland Power Plant.csv
155,Kallnach,,Kallnach,Kallnach,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,8.1,,8.3,8.3,47.020319,,47.0214990152,,7.235453,,7.22817749023,,,,BFE,Switzerland Power Plant.csv
156,Goule,,Goule,Goule,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,5.87,,5.6,5.6,47.1528362264,,47.2287001901,,6.99691772461,,6.92853835569,,,,BFE,Switzerland Power Plant.csv
157,Spiez,,Spiez,Spiez,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,18.4,,18.66,18.66,46.684733,,46.6966510403,,7.691108,,7.6649514724,,,,BFE,Switzerland Power Plant.csv
158,Laufenburg,,Laufenburg,Laufenburg,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,106.0,,110.0,110.0,47.5598473396,,47.5558907696,47.1810605,8.06224822998,,8.04884507333,7.5626086,,,BFE,Switzerland Power Plant.csv
159,Martina,,Pradella martina,Martina,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,84.0,,84.0,84.0,46.884164,,46.8821155388,46.1365416,10.462687,,10.4645577137,7.0393423,,,BFE,Switzerland Power Plant.csv
160,Etzelwerk altendorf,,Etzelwerk,Etzelwerk altendorf,Hydro,,Hydro,Hydro,,,Pumped storage,,Switzerland,,Switzerland,Switzerland,142.44,,135.0,135.0,47.1630944254,,47.1941128968,46.5770564,8.78477145916,,8.81291517067,9.3748606,,,BFE,Switzerland Power Plant.csv
161,Hinterthal huribach,,Hüribach,Hinterthal hüribach,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,4.44,,4.7,4.7,46.976761,,46.9710051496,,8.76499,,8.78249669152,,,,BFE,Switzerland Power Plant.csv
162,Sahli glattalp,,Glattalp,Sahli glattalp,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,9.0,,9.3,9.3,46.9156824717,,46.9176188126,,8.88424873352,,8.84549886362,,,,BFE,Switzerland Power Plant.csv
163,Wernisberg,,Wernisberg,Wernisberg,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,19.8,,20.4,20.4,47.011045002,,46.9962188228,,8.64538192749,,8.65124425665,,,,BFE,Switzerland Power Plant.csv
164,Hinterthal muota,,Muota,Hinterthal muota,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,8.5,,8.8,8.8,46.976761,,46.9710051496,,8.76499,,8.78249669152,,,,BFE,Switzerland Power Plant.csv
165,Stechelberg,,Stechelberg,Stechelberg,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,4.3,,4.3,4.3,46.5431297381,,46.544726438,,7.90148735046,,7.89990747896,,,,BFE,Switzerland Power Plant.csv
166,Dallenwil,,Dallenwil,Dallenwil,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,17.75,,18.24,18.24,46.924197,,46.9116636808,,8.387852,,8.39360887478,,,,BFE,Switzerland Power Plant.csv
167,Obermatt,,Obermatt nebenkraftwerk,"Zwingen, obermatt",Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,29.7,,33.92,32.33,46.870169,,46.8425234958,47.1246067,8.374398,,8.37258575551,7.8716855,,,BFE,Switzerland Power Plant.csv
168,Isenthal,,Isenthal bolzbach,Isenthal bolzbach,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,11.0,,12.0,12.0,46.881992,,46.8992075573,,8.616111,,8.59340713177,,,,BFE,Switzerland Power Plant.csv
169,Burglen,,Bürglen unterschächen,Bürglen unterschächen,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,20.71,,20.8,23.0,46.875651,,46.8765292426,47.2038893,8.665392,,8.6633716678,8.7321901,,,BFE,Switzerland Power Plant.csv
170,Arniberg,,Arniberg,Arniberg,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,13.0,,13.0,13.0,46.771317,,46.7689944794,,8.669632,,8.66590412922,,,,BFE,Switzerland Power Plant.csv
171,Ganterbrucke,,Ganterbach saltina,Ganterbrücke,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,6.1,,6.1,5.01,46.2964768369,,46.3044267487,,8.05066108704,,8.00417833469,,,,BFE,Switzerland Power Plant.csv
172,Wolfenschiessen,,Wolfenschiessen,Wolfenschiessen,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,6.7,,8.6,6.6,46.903217,,46.914146486,,8.394228,,8.39791987992,,,,BFE,Switzerland Power Plant.csv
173,Lungererseewerk unteraa,,Unteraa lungerersee,Unteraa lungerersee,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,54.5,,54.0,54.0,46.833327,,46.8214351941,46.98053,8.180646,,8.1744623486,6.9010195,,,BFE,Switzerland Power Plant.csv
174,Letten,,Letten,Letten,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,4.5,,5.0,5.0,47.3666667,,47.3870125904,,8.55,,8.53232193345,,,,BFE,Switzerland Power Plant.csv
175,Tinizong,,Tinizong,Tinizong,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,67.2,,69.5,76.5,46.582406,,46.5825064851,46.30861,9.61732,,9.61064835764,6.893802,,,BFE,Switzerland Power Plant.csv
176,Castasegna,,Castasegna,Castasegna,Hydro,,Hydro,Hydro,,,Reservoir,,Switzerland,,Switzerland,Switzerland,95.0,,100.0,100.0,46.3339211123,,46.3360981055,46.177346,9.51785087585,,9.51543700775,5.9960047,,,BFE,Switzerland Power Plant.csv
177,Sublin,,Sublin,Sublin,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,7.8,,10.61,10.61,46.252137,,46.2650997419,,7.011408,,7.04019258223,,,,BFE,Switzerland Power Plant.csv
178,Bocki,,Bocki,Bocki,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,7.0,,8.7,8.7,46.81885,,46.8409637891,,8.650516,,8.63214556041,,,,BFE,Switzerland Power Plant.csv
179,Charmey,,Charmey perré,Charmey le perré,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,4.5,,5.27,5.27,46.619499,,46.6145855566,,7.056743,,7.16175653751,,,,BFE,Switzerland Power Plant.csv
180,Montbovon,,Montbovon,Montbovon,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,12.72,,31.0,31.0,46.4881993662,,46.4879524618,47.2579312,7.04365253448,,7.04831690495,8.852696,,,BFE,Switzerland Power Plant.csv
181,Montpezat,,Montpezat,Montpezat,Hydro,,Hydro,Hydro,,,Reservoir,,France,,France,France,133.7,,131.8,131.8,43.751367,,44.69026,,6.0888,,4.27215,,,,RTE,France Power Plant.csv
182,Saussaz,,Saussaz,Saussaz,Hydro,,Hydro,Hydro,,,Run-of-river,,France,,France,France,146.0,,145.4,145.4,45.218424,,45.20992,,6.472575,,6.47663,,,,RTE,France Power Plant.csv
183,Passy,,Passy,Passy,Hydro,,Hydro,Hydro,,,Run-of-river,,France,,France,France,109.4,,104.0,104.0,45.920277,,45.91642,,6.687651,,6.72592,,,,RTE,France Power Plant.csv
184,Dirinon,,Dirinon,Dirinon,Oil,,Oil,Oil,,,,,France,,France,France,171.692,,170.0,170.0,48.397751,,48.39036,,-4.270165,,-4.26373,,,,RTE,France Power Plant.csv
185,Vitry arrighi,,Arrighi,Arrighi,Oil,,Oil,Oil,,,,,France,,France,France,250.0,,254.0,254.0,48.787159,,48.79151,,2.403322,,2.41593,,,,RTE,France Power Plant.csv
186,Lee hydro,,Les clées,Lee,Hydro,,Hydro,Hydro,,,Run-of-river,,Ireland,,Switzerland,Ireland,19.0,,30.0,27.47,51.8833333,,46.7311268769,,-8.6333333,,6.44499252092,,,,BFE,Ireland and Northern Ireland.csv
187,Grono,,Grono,Grono,Hydro,,Hydro,Hydro,,,Run-of-river,,Switzerland,,Switzerland,Switzerland,37.5,,37.5,37.5,46.246788,,46.2420119954,,9.149258,,9.15352000435,,,,BFE,Switzerland Power Plant.csv
