id,Name,Country,Fueltype,location,File,Technology,Capacity,lat,lon
2333,Kwkk heidelberg,Germany,Natural Gas,Heidelberg,Germany Power Plants (conventional).csv,,13.5,49.4093582,8.694724
2334,Kwm,Germany,Coal,Hohenhameln OT Mehrum,Germany Power Plants (conventional).csv,,690.0,,
2335,Küblis,Switzerland,Hydro,Weissenburg,Switzerland Power Plant.csv,,45.6,46.6583435,7.4748163
2336,Kühtai,Germany,Hydro,Kühtai,Germany Power Plants (conventional).csv,,289.0,,
2337,Laak vaart,Netherlands,Wind,Halderberge,Netherlands Power Plant.csv,,10.0,51.58976405,4.51348332101
2338,Laarakker dijk,Netherlands,Wind,Reusel-De Mierden,Netherlands Power Plant.csv,,10.0,51.37099705,5.14686666917
2339,Labradas fusionado re + re,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,36.55,,
2340,Labrados,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.0,,
2341,Labros,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,37.4,,
2342,Lacera,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,212.42,,
2343,Laderas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,48.0,,
2344,Ladral,Switzerland,Hydro,,Switzerland Power Plant.csv,,5.1,,
2345,Ladrones,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,61.5,,
2346,Lafortunada cinca,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,41.4,,
2347,Lafortunada cinqueta,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,40.8,,
2348,Lagos,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,38.94,,
2349,Laholm,Sweden,Hydro,"Laholm Municipality, Halland County",Sweden Power Plant.csv,,11.3,,
2350,Lairg,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,4.0,56.7861112,-4.1140517
2351,Lakselv,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,1.0,,
2352,Lakshola,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,34.0,,
2353,Lamarmora,Italy,Oil,BRESCIA,Italy Power Plant.csv,,116.7,45.5399392,10.2204897
2354,Lambrigg,United Kingdom,Wind,North West,UK Power Plant.csv,,7.0,52.2370231,-0.4686148
2355,Lana,Italy,Hydro,LANA,Italy Power Plant.csv,,120.0,46.6073775,11.1613274
2356,Lanaken sappi,Belgium,Natural Gas,,Belgium Power Plant.csv,,43.0,,
2357,Lances,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,10.68,,
2358,Lanchal,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,21.25,,
2359,Lanchar,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,87.3,,
2360,Landau,Germany,Hydro,Pilsting-Harburg,Germany Power Plants (conventional).csv,,12.6,48.675445,12.6677046781
2361,Landesbergen biomasse,Germany,Waste,Landesbergen,Germany Power Plants (conventional).csv,,20.0,52.5610203,9.1238142
2362,Landl,Austria,Hydro,,Verbund Power Plant.csv,,25.0,,
2363,Landquart,Switzerland,Hydro,,Switzerland Power Plant.csv,,1.21,,
2364,Lang sima,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,580.0,,
2365,Langa duero,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,14.95,,
2366,Langage,United Kingdom,Natural Gas,South West,UK Power Plant.csv,,905.0,50.5947727,-1.9521986
2367,Langbjorn,Sweden,Hydro,Ångermanälven,Sweden Power Plant.csv,,98.0,63.7044719,17.0175829
2368,Langed,Sweden,Hydro,"Upperuds älv,in the village of Dals Långed in Bengtsfors Municipality",Sweden Power Plant.csv,,5.5,,
2369,Langerbrugge stora st,Belgium,Hydro,,Belgium Power Plant.csv,,50.0,,
2370,Langerlo,Belgium,Coal,,Belgium Power Plant.csv,,940.0,,
2371,Langerlo repowering,Belgium,Natural Gas,,Belgium Power Plant.csv,,172.0,,
2372,Langfjord,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,10.0,,
2373,Langley park,United Kingdom,Wind,North East,UK Power Plant.csv,,8.0,50.5949824,-1.9518955
2374,Lango,Sweden,Hydro,"Värnamo Municipality, Jönköping County",Sweden Power Plant.csv,,1.0,,
2375,Langvann,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,7.0,,
2376,Langvatn,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,115.0,,
2377,Lansinghage,Netherlands,Wind,Zoetermeer,Netherlands Power Plant.csv,,9.0,52.06228915,4.48775461399
2378,Lanternoso,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.0,,
2379,Lanuza,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,52.69,,
2380,Lanzada,Italy,Hydro,LANZADA,Italy Power Plant.csv,,188.0,46.269297,9.869247
2381,Larga,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,98.0,,
2382,Larino tg,Italy,Natural Gas,URURI,Italy Power Plant.csv,,250.0,41.816536,15.016134
2383,Larouco,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,41.65,,
2384,Larram,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,20.0,,
2385,Larriba hornillos,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,32.0,,
2386,Lasele,Sweden,Hydro,Ångermanälven,Sweden Power Plant.csv,,165.0,63.7044719,17.0175829
2387,Lassajavrre,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,9.0,,
2388,Lastra,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,11.69,,
2389,Laubegg garstatt,Switzerland,Hydro,,Switzerland Power Plant.csv,,2.6,,
2390,Laudal,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,38.0,,
2391,Lauenen louibach,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.9,,
2392,Laufen wasserfall,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.72,,
2393,Laufenburg,Germany,Hydro,Laufenburg,Germany Power Plants (conventional).csv,,104.4,50.791296,6.3585824
2394,Laufenburg,Switzerland,Hydro,Biberist,Switzerland Power Plant.csv,,110.0,47.1810605,7.5626086
2395,Laufnitzdorf,Austria,Hydro,,Verbund Power Plant.csv,,18.0,,
2396,Lavamünd,Austria,Hydro,,Verbund Power Plant.csv,,28.0,,
2397,Lavey,Switzerland,Hydro,"St. Gallen, Sittertal",Switzerland Power Plant.csv,,90.0,47.4081188,9.3228384
2398,Lavin prà da plaiv,Switzerland,Hydro,,Switzerland Power Plant.csv,,3.07,,
2399,Lavkajohka,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,10.0,,
2400,Laxede,Sweden,Hydro,Lule älv,Sweden Power Plant.csv,,222.0,,
2401,Layna,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,50.0,,
2402,Le chalet,Switzerland,Hydro,,Switzerland Power Plant.csv,,2.6,,
2403,Le châtelot,Switzerland,Hydro,Derendingen,Switzerland Power Plant.csv,,31.6,47.1995305,7.5859837
