id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
490,Montbovon,,,Montbovon,Hydro,Run-Of-River,Switzerland,PP,31.0,1972.0,46.4879524618,7.048316905,BFE,"{u'OPSD': u'[OEU591]', u'CARMA': u'[29156]'}"
491,Montcherand,,,Montcherand,Hydro,Run-Of-River,Switzerland,PP,15.6,1950.0,46.7272057233,6.5134866225,BFE,"{u'OPSD': u'[OEU611]', u'CARMA': u'[29159]'}"
492,Morel rhowag,,,Mörel,Hydro,Run-Of-River,Switzerland,PP,89.0,1943.0,46.3521806524,8.0418308873,BFE,"{u'OPSD': u'[OEU812]', u'CARMA': u'[29365, 29366]'}"
493,Morobbia,,,Morobbia,Hydro,Run-Of-River,Switzerland,PP,15.5,1970.0,46.1680636081,9.0168995271,BFE,"{u'OPSD': u'[OEU975]', u'CARMA': u'[29398]'}"
494,Mottec,,,Mottec,Hydro,Pumped Storage,Switzerland,PP,71.0,1958.0,46.153036238,7.619988428,BFE,"{u'OPSD': u'[OEU857]', u'CARMA': u'[29522]'}"
495,Muden,,,Müden,Hydro,Run-Of-River,Germany,PP,16.4,1965.0,52.521937,10.360381,,"{u'OPSD': u'[BNA1214]', u'CARMA': u'[29730]'}"
496,Muttsee,,,Muttsee,Hydro,Reservoir,Switzerland,PP,4.4,1965.0,46.8464330851,9.0127951558,BFE,"{u'OPSD': u'[OEU724]', u'CARMA': u'[30028]'}"
497,Mva schwandorf,,,Müllkraftwerk schwandorf,Waste,Steam Turbine,Germany,PP,54.0,1982.0,49.30998,12.08795,,"{u'OPSD': u'[BNA1254]', u'CARMA': u'[63889]'}"
498,Neef,,,Neef,Hydro,Run-Of-River,Germany,PP,16.4,1966.0,50.087362,7.135809,,"{u'OPSD': u'[BNA1216]', u'CARMA': u'[30751]'}"
499,Neubrandenburg gud,,,Neubrandenburg,Natural Gas,CCGT,Germany,PP,75.0,1997.0,53.5745,13.295142,,"{u'OPSD': u'[BNA0688]', u'CARMA': u'[30861]'}"
