None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
48,Castelnou,Castelnou,Castelnou,,Ciclo combinado castelnou,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,773.0,790.6,760.0,,790.68,,,,,,41.215786,,41.2167,,,-0.294715,,-0.2928,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[7378],18WCTNU-12345-0U,G541,,[910]
49,Chivasso,Chivasso,Edipower chivasso,,Chivasso,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,1150.0,1123.0,1179.0,,1123.0,,,,,,45.183333,,45.1856,,45.189352,7.883333,,7.9016,,7.887224,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[8489],26WIMPI-S01CHVSE,G443,,[890]
50,Cofrentes,Cofrentes,Cofrentes,,Cofrentes,Nuclear,Nuclear,Nuclear,,Nuclear,,,,,,PP,PP,PP,,PP,Spain,Spain,Spain,,Spain,1092.0,1063.9,1092.0,,1102.0,,,,,,39.2166666667,,39.2134,,,-1.05,,-1.0509,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,EU Nuclear Power.csv,[8985],18WCOF1-12345-0O,G1298,,[941]
51,Coo trois ponts,Coo,Coo and,,Coo,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Belgium,Belgium,Belgium,,Belgium,1065.0,690.0,1164.0,,1164.0,,,,,,50.3712790769,,50.3849,,,5.87146282196,,5.8618,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Belgium Power Plant.csv,[9282],22WCOOXII000070C,G752,,[977]
52,Cristobal colon,Colon,Cristobal colon,,Cristobal colon,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,400.0,390.9,400.0,,390.94,,,,,,37.19141,,37.2156,,,-6.943695,,-6.943,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[9688],18WCOL4-12345-02,G536,,[1022]
53,Drogenbos,Drogenbos tgv,Drogenbos,,Drogenbos,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Belgium,Belgium,Belgium,,Belgium,604.0,465.0,538.0,,513.0,,,,,,50.804432,,50.8023,,,4.297818,,4.299,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Belgium Power Plant.csv,[11324],22WDROGEN0000863,G300,,"[1178, 1180]"
54,Dublin bay,Dublin bay prod,Dublin bay ringsend,,Dublin bay,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,408.0,405.0,408.0,,415.0,,,,,,53.3419444,,53.34,,,-6.2263889,,-6.2049,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[11387],47W000000000171M,G382,,[1186]
55,Edolo,Edolo,Edolo,,Edolo,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Italy,Italy,Italy,,Italy,1280.0,950.0,1000.0,,950.0,,,,,,46.178199,,46.171,,46.178199,10.329159,,10.348,,10.329159,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[11821],26WIMPI-S03EDLO9,G982,,[1231]
56,Einaudi chiotas,Entracque_chro,Entracque chiotas piastra,,Entracque_chro,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Italy,Italy,Italy,,Italy,1000.0,1064.0,1184.0,,1064.0,,,,,,44.241425,,44.2256,,44.241425,7.399331,,7.38417,,7.399331,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[8420],26WIMPI-S01ENTRP,G985,,[1333]
57,Einaudi rovina,Entracque rovina,Entracque rovina piastra,,Entracque rovina,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Italy,Italy,Italy,,Italy,125.0,125.0,134.0,,125.0,,,,,,44.241425,,44.2256,,44.241425,7.399331,,7.3817,,7.399331,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[38112],26WIMPI-R01ENTRX,G986,,[1332]
58,Filippo mela,Filippo del mela,Edipower san filippo del mela,,Filippo mela,Oil,Oil,Oil,,Oil,,,Steam Turbine,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,1280.0,866.0,1280.0,,1280.0,,,,,,38.184171,,38.2049,,38.169727,15.277686,,15.2818,,15.2725271,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[39144],26WIMPI-S19SDMCS,G656,,[1467]
59,Freudenau,Freudenau,Freudenau,,Vienna freudenau,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,186.8,172.0,172.0,,172.0,,,,,,48.2084877602,,48.1766,,,16.3720750809,,16.4814,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[14110],14W-BFR-KW-----A,G739,,[4579]
60,Gerlos,Gerlos,Gerlos,,Gerlos,Hydro,Hydro,Hydro,,Hydro,,,Reservoir,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,200.2,200.2,200.0,,200.0,,,,,,47.2333333,,47.23417,,,11.8833333,,11.89972,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[14969],14W-TZG-KW-----H,G731,,[1646]
61,Ghislain,Saint ghislain steg,Saint ghislain,,Saint ghislain steg,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Belgium,Belgium,Belgium,,Belgium,360.0,350.0,350.0,,350.0,,,,,,50.4712,,50.4719,,,3.8257,,3.8248,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Belgium Power Plant.csv,[38690],22WSAINT-000221B,G303,,[3722]
62,Gissi,Gissi,Gissi,,Gissi,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,800.0,840.0,840.0,,840.0,,,,,,42.049972,,42.0502,,42.0212271,14.563,,14.5639,,14.5457485,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[15170],26WIMPI-S13CDGNT,G402,,[1661]
63,Great island,Great island prod,Great island,,Great island,Oil,Oil,Oil,,Oil,,,Steam Turbine,,,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,240.0,313.0,240.0,,216.0,,,,,,52.289167,,52.2793,,,-6.941389,,-6.9935,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[15801],47W000000000160R,G655,,[1726]
64,Greifenstein,Greifenstein,Greifenstein,,Greifenstein,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,311.1,293.0,293.0,,293.0,,,,,,48.3466663765,,48.3553,,,16.2422561646,,16.2424,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[15887],14W-BGS-KW-----Q,G711,,[1736]
65,Guardo,Guardo,Velilla guarda,,Ct guardo,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,498.0,342.4,516.0,,485.85,,,,,,42.826109,,42.8181,,,-4.846262,,-4.8539,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[16182],18WGUA2-12345-0J,G210,,[1034]
66,Harspranget,Harsprånget,Harspranget,,Harspranget,Hydro,Hydro,Hydro,,Hydro,,,Run-Of-River,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,970.0,830.0,977.0,,871.0,,,,,,66.9592699603,,66.8857,,,19.8207092285,,19.8186,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[16998],46WPU0000000029L,G1167,,[1860]
67,Hausling,Häusling,Haeusling,,Häusling,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,360.0,360.0,360.0,,360.0,,,,,,47.15,,47.14613,,,11.9666667,,11.967519,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[17147],14W-TZH-KW-----7,G729,,[2033]
68,Hojum,Hojum,Hojum,,Hojum,Hydro,Hydro,Hydro,,Hydro,,,Run-Of-River,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,160.0,172.0,170.0,,184.0,,,,,,58.2836544017,,58.2804,,,12.2886371613,,12.2787,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[18082],46WPU0000000054M,G1176,,[1958]
69,Huntstown,Huntstown production,Huntstown,,Huntstown,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,741.1,744.0,747.0,,747.0,,,,,,53.4126,,53.4119,,,-6.32518,,-6.3261,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[18874],47W000000000173I,G384,,"[2025, 2026]"
70,Kaprun oberstufe,Kaprun oberstufe,Kaprun oberstufe limberg,,Kaprun oberstufe,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,112.8,112.8,113.0,,113.0,,,,,,,,47.1968,,,,,12.71922,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[21222],14W-TKO-KW-----S,G716,,[2194]
71,Kilforsen,Kilforsen,Kilforsen,,Kilforsem,Hydro,Hydro,Hydro,,Hydro,,,Run-Of-River,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,267.6,275.0,288.0,,296.0,,,,,,63.4333333,,63.5423,,63.7044719,16.9,,16.76288,,17.0175829,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[22097],46WPU0000000045N,G1174,,[2230]
72,Lada,Lada,Lada,,Ct lada,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,513.0,347.7,513.0,,347.7,,,,,,43.30750477,,43.3081,,,-5.69091796875,,-5.7,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[24008],18WLAD4-12345-0U,G206,,[1035]
73,Laxede,Laxede,Laxede,,Laxede,Hydro,Hydro,Hydro,,Hydro,,,Run-Of-River,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,206.1,207.0,207.0,,222.0,,,,,,66.2244340313,,66.2242,,,20.8671569824,,20.86,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[24707],46WPU0000000037M,G1164,,[2400]
74,Leini,Leini,Leini,,Leini,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,CHP,,PP,,PP,Italy,Italy,Italy,,Italy,385.0,380.0,385.0,,379.5,,,,,,45.18275,,45.163,,45.18275,7.714221,,7.75047,,7.714221,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[24879],26WIMPI-S01LNEIG,G445,,[2414]
75,Letsi,Letsi,Letsi,,Letsi,Hydro,Hydro,Hydro,,Hydro,,,Reservoir,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,440.1,440.0,456.0,,486.0,,,,,,,,66.5024,,,,,20.3797,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[25060],46WPU0000000035Q,G1171,,[2440]
76,Ligga,Ligga,Ligga,,Ligga,Hydro,Hydro,Hydro,,Hydro,,,Run-Of-River,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,351.4,343.0,324.0,,332.0,,,,,,66.9592699603,,66.8094,,,19.8207092285,,19.8968,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[25222],46WPU0000000031Y,G1168,,[2449]
77,Litoral almeria,Litoral,Litoral almeira carboneras,,Litoral almeria,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,1100.0,562.0,1158.0,,1119.59,,,,,,36.980187,,36.9783,,,-1.903682,,-1.9054,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[25414],18WLIT2-12345-00,G199,,[2472]
78,Loviisa,Loviisa,Loviisa finland,,Loviisa,Nuclear,Nuclear,Nuclear,,Nuclear,,,,,,PP,PP,PP,,PP,Finland,Finland,Finland,,Finland,1020.0,496.0,976.0,,1040.0,,,,,,60.3722222222,,60.3708,,,26.3472222222,,26.3468,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,EU Nuclear Power.csv,[25955],44W-T-YV-0000018,G1264,,[2547]
79,Marghera levante,Levante,Edison marghera levante,,Levante,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,835.3,753.0,766.0,,752.5,,,,,,,,45.4458,,45.4371908,,,12.2552,,12.3345899,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[27202],26WIMPI-S05PMAR7,G447,,[2443]
80,Marina,Marina production,Marina ocgt,,Marina no st,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,OCGT,,,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,145.0,95.0,96.0,,88.0,,,,,,51.8979692918,,51.9,,,-8.47060918808,,-8.4458,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[27250],47W000000000165H,G380,,[2655]
81,Mayrhofen zemm,Mayrhofen,Mayrhofen,,Mayrhofen,Hydro,Hydro,Hydro,,Hydro,,,Reservoir,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,345.0,345.0,345.0,,355.0,,,,,,,,47.158065,,,,,11.850133,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[27679],14W-TZMA-KW----N,G728,,[2683]
82,Melk,Melk,Melk,,Melk,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,200.7,187.0,187.0,,187.0,,,,,,48.2273672513,,48.2232,,,15.3318607807,,15.3042,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[27970],14W-BME-KW-----Q,G714,,[2701]
83,Messaure,Messaure,Messaure,,Messaure,Hydro,Hydro,Hydro,,Hydro,,,Run-Of-River,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,456.0,452.0,442.0,,463.0,,,,,,66.6066486613,,66.6855,,,19.8232412338,,20.3359,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[28173],46WPU0000000032W,G1169,,[2725]
84,Moncalieri,Moncalieri,Iride moncalieri,,Moncalieri,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,CHP,,PP,,PP,Italy,Italy,Italy,,Italy,667.0,780.0,778.0,,790.0,,,,,,44.994722,,44.993,,45.0004614,7.676389,,7.6755,,7.6847543,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[29047],26WIMPI-S01MNCLB,G444,,[2786]
85,Moneypoint,Moneypoint production,Moneypoint,,Moneypoint fgd scr,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,915.0,855.0,915.0,,855.0,,,,,,52.6075,,52.6074,,,-9.42267,,-9.42365,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[29064],47W000000000166F,G104,,[2791]
86,Napoli levante,Napoli,Tirrenopower napoli levante,,Napoli,Oil,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,438.0,400.0,400.0,,400.0,,,,,,40.834444,,40.8339,,40.8359336,14.301944,,14.3006,,14.2487826,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[30467],26WIMPI-S15NLPLI,G423,,[2936]
87,Narcea,Narcea,Narcea,,Narcea,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,595.0,347.4,595.0,,553.64,,,,,,43.337651,,43.2924,,,-6.414516,,-6.3937,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[30484],18WNRC3-12345-06,G205,,[2938]
88,North wall,North wall production,North wall,,Northwall,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,OCGT,,,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,270.0,271.0,262.0,,267.0,,,,,,53.3439928822,,53.3502,,,-6.26718521118,,-6.2111,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[31659],47W000000000167D,G383,,[3039]
89,Olkiluoto,Olkiluoto,Olkiluoto tvo finland,,Olkiluoto,Nuclear,Nuclear,Nuclear,,Nuclear,,,,,,PP,PP,PP,,PP,Finland,Finland,Finland,,Finland,1755.0,1600.0,1920.0,,1820.0,,,,,,61.2369444444,,61.2371,,,21.4408333333,,21.4433,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,EU Nuclear Power.csv,[32475],44W-T-YV-0000042,G1265,,[3106]
90,Oskarshamn,Oskarshamn,Oskarshamn,,Oskarshamn,Nuclear,Nuclear,Nuclear,,Nuclear,,,,,,CHP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,2637.075,1400.0,2307.0,,2603.0,,,,,,57.4155555556,,57.41297,,,16.6711111111,,16.66832,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,EU Nuclear Power.csv,[32933],46WPU0000000061P,G1300,,[3139]
91,Ostiglia,Ostiglia,E.on ostiglia,,Ostiglia,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,1890.0,1124.0,1482.0,,1137.0,,,,,,45.053333,,45.0603,,45.0703901,11.138889,,11.1374,,11.13641,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[32999],26WIMPI-S03OSTG2,G418,,[3142]
92,Ottensheim wilhering,Ottensheim wilhering,Ottenheim wilhering,,Ottensheim wilhering,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,183.0,179.0,179.0,,179.0,,,,,,,,48.31663,,,,,14.1512,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[33078],14W-BOW-KW-----9,G736,,[3145]
93,Plate taille,Plate taille,Plate taille belgeium,,Plate taille,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Belgium,Belgium,Belgium,,Belgium,140.0,144.0,144.0,,144.0,,,,,,50.2284848583,,50.1884,,,4.37753677368,,4.3861,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Belgium Power Plant.csv,[23845],22WPLATEX000208N,G751,,[3340]
94,Poolbeg,Poolbeg production,Poolbeg,,Poolbeg combined cycle,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,978.2,490.0,470.0,,480.0,,,,,,53.3391,,53.3396,,,-6.1865,,-6.1867,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[35286],47W000000000168B,G381,,[3361]
95,Porcari fine,Porcari,Edison porcari,,Porcari,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,CHP,,PP,,PP,Italy,Italy,Italy,,Italy,5.0,102.0,100.0,,100.0,,,,,,43.844145,,43.8235,,43.8409016,10.616407,,10.6023,,10.6176214,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[35314],26WIMPI-S09CPLR3,G416,,[3362]
96,Porjus nya,Porjus,Porjus,,Porjus,Hydro,Hydro,Hydro,,Hydro,,,Reservoir,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,480.0,440.0,465.0,,430.0,,,,,,66.9592699603,,66.959,,,19.8207092285,,19.80232,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[35333],46WPU0000000028N,G1163,,[3364]
97,Presenzano,Presenzano,Presenzano domenico cimarosa,,Presenzano,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Italy,Italy,Italy,,Italy,1000.0,1005.0,1000.0,,1005.0,,,,,,41.376619,,41.38158,,41.376619,14.07642,,14.09034,,14.07642,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[35733],26WIMPI-S15PRSN8,G984,,[3397]
98,Quirico,Quirico,Edison san quirco,,Quirico,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,133.0,137.0,133.0,,137.0,,,,,,44.9166667,,44.9289,,44.8013678,10.25,,10.3055,,10.3280833,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[39344],26WIMPI-S08ESDS9,G426,,[3468]
99,Ringvaart,Ringvaart steg,Ringvaart,,Ringvaart steg,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Belgium,Belgium,Belgium,,Belgium,359.0,357.0,359.0,,357.0,,,,,,51.099273,,51.1049,,,3.712048,,3.7257,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Belgium Power Plant.csv,[37381],22WRINGVA000209C,G297,,[3593]
100,Rizziconi,Rizziconi,Rizziconi,,Rizziconi,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,800.0,768.0,760.0,,760.0,,,,,,38.410775,,38.4453,,38.410775,15.958197,,15.99,,15.958197,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[37631],26WIMPI-S18RCZZW,G436,,[3609]
101,Robla fenosa,Robla,Robla,,Robla,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,620.0,355.1,655.0,,619.06,,,,,,42.80302,,42.7924,,,-5.62904,,-5.634,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[23877],18WROB2-12345-0B,G209,,[3618]
102,Roncovalgrande delio,Roncovalgrande,Roncovalgrande,,Roncovalgrande,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Italy,Italy,Italy,,Italy,1000.0,1000.0,1016.0,,1000.0,,,,,,46.0435697247,,46.0702,,46.07368475,8.73413085938,,8.7339,,8.77640846905,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[37903],26WIMPI-S03RNCVS,G988,,[3637]
103,Sarmato,Sarmato,Edison sarmato,,Sarmato,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,182.0,180.0,180.0,,180.0,,,,,,45.056964,,45.0522,,45.0598143,9.492361,,9.5072,,9.4913871,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[39863],26WIMPI-S08SERM2,G432,,[3778]
104,Schwarzach sbg,Kaprun schwarzach,Schwarzach,,Schwarzach,Hydro,Hydro,Hydro,,Hydro,,,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,120.0,120.0,120.0,,120.0,,,,,,47.3833333,,47.3152,,,12.6,,13.1389,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[40228],14W-TKS-KW-----P,G718,,[3825]
