Name,Country,lat,lon
ALOUMINIO,Greece,38.025556,23.83428
AG_DIMITRIOS4,Greece,37.93572109999999,23.7295198
KREMASTA,Greece,38.9413932,21.4931713
ELPEDISON_THESS,Greece,39.074208,21.824312
POURNARI1,Greece,38.0719953,21.5248318
HERON3,Greece,39.074208,21.824312
KOMOTINI,Greece,41.1224394,25.4065582
HERON2,Greece,39.074208,21.824312
ASOMATA,Greece,40.4869972,22.2332384
AG_DIMITRIOS1,Greece,37.93572109999999,23.7295198
KARDIA1,Greece,39.074208,21.824312
PLASTIRAS,Greece,39.35,21.75
AG_DIMITRIOS5,Greece,36.7721102,22.3125061
PLATANOVRYSI,Greece,38.1359122,21.7609129
AGRAS,Greece,40.8058655,22.0032706
EDESSAIOS,Greece,39.074208,21.824312
HERON_CC,Greece,39.074208,21.824312
THESAVROS3,Greece,39.074208,21.824312
STRATOS1,Greece,38.6673893,21.3168387
KARDIA3,Greece,40.4685079,22.9945421
LADONAS,Greece,37.69394670556883,21.89262944336539
AG_DIMITRIOS3,Greece,37.93572109999999,23.7295198
SFIKIA,Greece,40.3856573,22.2113777
POLYFYTO,Greece,40.3176717,22.1186001
ELPEDISON_THISVI,Greece,38.23563,22.9519596
AMYNDEO1,Greece,39.074208,21.824312
KASTRAKI,Greece,39.7164807,21.6183119
MEGALOPOLI3,Greece,37.401244,22.1364871
THESAVROS2,Greece,39.074208,21.824312
ALIVERI5,Greece,38.4092722,24.0400763
P_AOOU,Greece,39.2012586,23.1983681
LAVRIO4,Greece,37.714177,24.0576632
PROTERGIA_CC,Greece,39.074208,21.824312
POURNARI2,Greece,38.0719953,21.5248318
KARDIA2,Greece,39.074208,21.824312
KORINTHOS_POWER,Greece,39.074208,21.824312
KARDIA4,Greece,39.074208,21.824312
HERON1,Greece,39.074208,21.824312
MELITI,Greece,40.83,21.581667
Dunamenti Erőmű,Hungary,47.3281775,18.9204529
DunaPV,Hungary,47.162494,19.503304
VPP szabályozási csoport,Hungary,47.162494,19.503304
Pécsi Erőmű,Hungary,46.0727345,18.232266
Gönyűi Erőmű,Hungary,47.7378081,17.804836
MVM szabályozási központ,Hungary,47.162494,19.503304
Tatabánya Erőmű,Hungary,47.5595806,18.4283824
Debreceni Kombináltciklusú Erőmű,Hungary,47.5288879,21.6254485
Bakonyi Bioerőmű,Hungary,47.25,17.8333333
VEOLIA szabályozási központ,Hungary,46.0526189,17.802898
GREENERGY szabályozási központ,Hungary,47.5534149,19.0804758
Sopronkövesd szélerőműpark,Hungary,47.54605040000001,16.7432859
Paksi Atomerőmű,Hungary,46.5743687,18.8494116
Oroszlányi Erőmű,Hungary,47.5006201,18.270297
EONSUM szabályozási központ,Hungary,47.162494,19.503304
Bakonyi Gázturbinás Erőmű,Hungary,47.162494,19.503304
Mátrai Erőmű,Hungary,47.7944596,20.0545474
Tiszai Erőmű,Hungary,47.9159377,21.077379
FZSOPV,Hungary,47.162494,19.503304
Sinergy szabályozási központ,Hungary,46.0526189,17.802898
PLOOP szabályozási központ,Hungary,47.162494,19.503304
Lőrinci Gázturbinás Erőmű,Hungary,47.7390261,19.6756558
Tüskésréti Naperőmű (Pécs),Hungary,46.06081409999999,18.2607619
Újpesti Erőmű,Hungary,47.5543462,19.1016106
Litéri Gázturbinás Erőmű,Hungary,47.10761129999999,18.0141737
PAKSPV Paks naperőmű,Hungary,46.6060722,18.8546832
Alpiq Csepel Erőmű,Hungary,47.4068148,19.0835149
Hamburger Hungária,Hungary,46.9252362,18.9363479
Sajószögedi Gázturbinás Erőmű,Hungary,47.9458004,20.9946112
ALPIQ szabályzási csoport,Hungary,47.162494,19.503304
Kispesti Erőmű,Hungary,47.45637079999999,19.1648398
Bőny Szélerőműpark,Hungary,47.6516279,17.8703841
Nyíregyházi Kombináltciklusú Erőmű,Hungary,47.9495324,21.7244053
Pannongreen,Hungary,47.525481,18.985078
Ajkai Hőerőmű,Hungary,47.1036349,17.5517783
