,ENTSOE,WEPP
829,1138.0,17062.0
830,1139.0,17083.0
831,1140.0,17085.0
832,1141.0,17134.0
833,1142.0,17156.0
834,1144.0,17230.0
835,1145.0,17233.0
836,1147.0,17318.0
837,1150.0,17370.0
838,1151.0,17393.0
839,1152.0,17426.0
840,1153.0,17449.0
841,1154.0,12561.0
842,1155.0,17480.0
843,1156.0,17486.0
844,1157.0,17160.0
845,1158.0,19092.0
846,1160.0,17509.0
847,1161.0,17522.0
848,1164.0,17600.0
849,1166.0,17606.0
850,1167.0,6387.0
851,1168.0,17647.0
852,1169.0,17674.0
853,1170.0,17582.0
854,1171.0,17686.0
855,1172.0,17696.0
856,1173.0,17721.0
857,1174.0,17722.0
858,1175.0,17724.0
859,1176.0,17733.0
860,1177.0,5360.0
861,1178.0,17748.0
862,1179.0,17751.0
863,1180.0,17752.0
864,1181.0,17790.0
865,1182.0,17846.0
866,1183.0,17494.0
867,1184.0,17899.0
868,1185.0,17920.0
869,1186.0,17922.0
870,1187.0,17926.0
871,1188.0,17930.0
872,1189.0,22248.0
873,1191.0,18000.0
874,1194.0,18060.0
875,1196.0,18107.0
876,1198.0,21960.0
877,1199.0,18159.0
878,1200.0,18167.0
879,1202.0,18185.0
880,1203.0,18209.0
881,1204.0,18215.0
882,1206.0,18222.0
883,1207.0,18236.0
884,1208.0,18250.0
885,1209.0,18256.0
886,1210.0,18283.0
887,1211.0,18289.0
888,1212.0,18302.0
889,1213.0,18339.0
890,1214.0,18367.0
891,1215.0,18369.0
892,1217.0,18382.0
893,1219.0,18408.0
894,1221.0,18609.0
895,1223.0,18439.0
896,1224.0,18440.0
897,1226.0,18517.0
898,1227.0,18530.0
899,1228.0,18543.0
900,1229.0,18554.0
901,1230.0,18578.0
902,1231.0,18592.0
903,1232.0,18596.0
904,1233.0,18602.0
905,1234.0,18691.0
906,1235.0,18727.0
907,1236.0,18729.0
908,1237.0,18792.0
909,1634.0,18610.0
910,1240.0,18843.0
911,1245.0,18877.0
912,1246.0,8395.0
913,1298.0,19416.0
914,1251.0,18974.0
915,1252.0,18985.0
