,GEO,WEPP
832,1004.0,30921.0
833,1005.0,30936.0
834,1006.0,30966.0
835,1007.0,30981.0
836,1008.0,30992.0
837,1009.0,30995.0
838,1047.0,32356.0
839,1011.0,31057.0
840,1012.0,31058.0
841,1013.0,31089.0
842,1014.0,31101.0
843,1015.0,31102.0
844,1016.0,31103.0
845,1017.0,31257.0
846,1018.0,31285.0
847,1019.0,31301.0
848,1020.0,31344.0
849,1021.0,31377.0
850,1022.0,31406.0
851,1024.0,31410.0
852,1025.0,31422.0
853,1026.0,4382.0
854,1027.0,4380.0
855,1028.0,20818.0
856,1030.0,31484.0
857,1031.0,31544.0
858,1032.0,31667.0
859,1033.0,31686.0
860,1034.0,31854.0
861,1035.0,31978.0
862,1036.0,10313.0
863,1037.0,32076.0
864,1039.0,32144.0
865,1040.0,32155.0
866,1041.0,32185.0
867,1042.0,32259.0
868,1043.0,32262.0
869,1044.0,32297.0
870,1045.0,32332.0
871,1048.0,32407.0
872,1049.0,32442.0
