Name,Block,Technology,Capacity,DateIn,DateRetrofit,Country,lat,lon,Fueltype,source
Olkiluoto,1,BWR,880.0,1979,2039,Finland,61.236666666667,21.442222222222,Nuclear,
Olkiluoto,2,BWR,890.0,1982,2042,Finland,61.236666666667,21.442222222222,Nuclear,
Belleville,1,Pressure water reactor,1310.0,1987,,France,47.510277777778,2.875,Nuclear,
Belleville,2,Pressure water reactor,1310.0,1988,,France,47.510277777778,2.875,Nuclear,
Blayais,1,Pressure water reactor,910.0,1981,2035,France,47.510277777778,2.875,Nuclear,
Blayais,2,Pressure water reactor,910.0,1982,2035,France,47.510277777778,2.875,Nuclear,
Blayais,3,Pressure water reactor,910.0,1983,,France,47.510277777778,2.875,Nuclear,
Blayais,4,Pressure water reactor,910.0,1983,,France,47.510277777778,2.875,Nuclear,
Brennilis (El-4),,Pressure tube reactor,70.0,1967,1985,France,47.510277777778,2.875,Nuclear,
Bugey,1,Ungg reactor,540.0,1972,1994,France,45.797222222222,5.27,Nuclear,
Bugey,2,Pressure water reactor,910.0,1978,2035,France,45.797222222222,5.27,Nuclear,
Bugey,3,Pressure water reactor,910.0,1978,2035,France,45.797222222222,5.27,Nuclear,
Bugey,4,Pressure water reactor,880.0,1979,,France,45.797222222222,5.27,Nuclear,
Bugey,5,Pressure water reactor,880.0,1979,,France,45.797222222222,5.27,Nuclear,
Cattenom,1,Pressure water reactor,1300.0,1986,,France,49.415555555556,6.2166666666667,Nuclear,
Cattenom,2,Pressure water reactor,1300.0,1987,,France,49.415555555556,6.2166666666667,Nuclear,
Cattenom,3,Pressure water reactor,1300.0,1990,,France,49.415555555556,6.2166666666667,Nuclear,
Cattenom,4,Pressure water reactor,1300.0,1991,,France,49.415555555556,6.2166666666667,Nuclear,
Chinon,A1,Ungg reactor,70.0,1963,1973,France,47.230555555556,0.17055555555556,Nuclear,
Chinon,A2,Ungg reactor,180.0,1965,1985,France,47.230555555556,0.17055555555556,Nuclear,
Chinon,A3,Ungg reactor,360.0,1966,1990,France,47.230555555556,0.17055555555556,Nuclear,
Chinon,B1,Pressure water reactor,905.0,1982,2035,France,47.230555555556,0.17055555555556,Nuclear,
Chinon,B2,Pressure water reactor,905.0,1983,2035,France,47.230555555556,0.17055555555556,Nuclear,
Chinon,B3,Pressure water reactor,905.0,1986,,France,47.230555555556,0.17055555555556,Nuclear,
Chinon,B4,Pressure water reactor,905.0,1987,,France,47.230555555556,0.17055555555556,Nuclear,
Chooz (Ardennes),A,Pressure water reactor,305.0,1967,1991,France,50.09,4.7894444444444,Nuclear,
Chooz (Ardennes),B1,Pressure water reactor,1500.0,1996,2037,France,50.09,4.7894444444444,Nuclear,
Chooz (Ardennes),B2,Pressure water reactor,1500.0,1997,2039,France,50.09,4.7894444444444,Nuclear,
Civaux,1,Pressure water reactor,1495.0,1997,,France,46.456111111111,0.65416666666667,Nuclear,
Civaux,2,Pressure water reactor,1495.0,1999,,France,46.456111111111,0.65416666666667,Nuclear,
Cruas,1,Pressure water reactor,915.0,1983,2035,France,44.633888888889,4.7538888888889,Nuclear,
Cruas,2,Pressure water reactor,915.0,1984,2035,France,44.633888888889,4.7538888888889,Nuclear,
Cruas,3,Pressure water reactor,915.0,1984,,France,44.633888888889,4.7538888888889,Nuclear,
Cruas,4,Pressure water reactor,915.0,1984,,France,44.633888888889,4.7538888888889,Nuclear,
Dampierre,1,Pressure water reactor,890.0,1980,2035,France,47.733611111111,2.5175,Nuclear,
Dampierre,2,Pressure water reactor,890.0,1980,2035,France,47.733611111111,2.5175,Nuclear,
Dampierre,3,Pressure water reactor,890.0,1981,,France,47.733611111111,2.5175,Nuclear,
Dampierre,4,Pressure water reactor,890.0,1981,,France,47.733611111111,2.5175,Nuclear,
Fessenheim,1,Pressure water reactor,880.0,1977,2020,France,47.903611111111,7.5625,Nuclear,
Fessenheim,2,Pressure water reactor,880.0,1977,2020,France,47.903611111111,7.5625,Nuclear,
Flamanville,1,Pressure water reactor,1330.0,1985,,France,47.903611111111,7.5625,Nuclear,
Flamanville,2,Pressure water reactor,1330.0,1986,,France,47.903611111111,7.5625,Nuclear,
Golfech,1,Pressure water reactor,1310.0,1990,,France,44.111111111111,0.84027777777778,Nuclear,
Golfech,2,Pressure water reactor,1310.0,1993,,France,44.111111111111,0.84027777777778,Nuclear,
Gravelines,1,Pressure water reactor,910.0,1980,2035,France,51.013611111111,2.1361111111111,Nuclear,
Gravelines,2,Pressure water reactor,910.0,1980,2035,France,51.013611111111,2.1361111111111,Nuclear,
Gravelines,3,Pressure water reactor,910.0,1980,,France,51.013611111111,2.1361111111111,Nuclear,
Gravelines,4,Pressure water reactor,910.0,1981,,France,51.013611111111,2.1361111111111,Nuclear,
Gravelines,5,Pressure water reactor,910.0,1984,,France,51.013611111111,2.1361111111111,Nuclear,
Gravelines,6,Pressure water reactor,910.0,1985,,France,51.013611111111,2.1361111111111,Nuclear,
Marcoule,G-2,Ungg reactor,38.0,1959,1980,France,44.15,4.7166666666667,Nuclear,
Marcoule,G-3,Ungg reactor,47.0,1960,1984,France,44.15,4.7166666666667,Nuclear,
Nogent,1,Pressure water reactor,1310.0,1987,,France,48.516111111111,3.5177777777778,Nuclear,
Nogent,2,Pressure water reactor,1310.0,1988,,France,48.516111111111,3.5177777777778,Nuclear,
Paluel,1,Pressure water reactor,1330.0,1984,,France,49.858055555556,0.63555555555556,Nuclear,
Paluel,2,Pressure water reactor,1330.0,1984,,France,49.858055555556,0.63555555555556,Nuclear,
